date_local,SO
2015-01-01,0.4
2015-01-02,0.508333
2015-01-03,0.547826
2015-01-04,0.0
2015-01-05,0.4
2015-01-06,0.433333
2015-01-07,0.1
2015-01-08,0.383333
2015-01-09,0.4
2015-01-10,0.030435
2015-01-11,0.4
2015-01-12,0.120833
2015-01-13,0.041667
2015-01-14,0.2
2015-01-15,0.146667
2015-01-16,0.3
2015-01-17,0.427273
2015-01-18,0.2
2015-01-19,0.541667
2015-01-20,0.733333
2015-01-21,0.125
2015-01-22,0.0125
2015-01-23,0.0
2015-01-24,0.057143
2015-01-25,0.3125
2015-01-26,0.416667
2015-01-27,0.542105
2015-01-28,0.641667
2015-01-29,0.308333
2015-01-30,0.6
2015-01-31,0.5
2015-02-01,-0.275
2015-02-02,-0.3
2015-02-03,0.1
2015-02-04,0.3125
2015-02-05,0.116667
2015-02-06,0.343478
2015-02-07,0.508696
2015-02-08,0.141667
2015-02-09,0.1
2015-02-10,0.8
2015-02-11,0.2
2015-02-12,-0.075
2015-02-13,0.204348
2015-02-14,0.2
2015-02-15,0.208333
2015-02-16,0.1
2015-02-17,0.004167
2015-02-18,0.0375
2015-02-19,0.3
2015-02-20,0.2
2015-02-21,0.3
2015-02-22,0.3
2015-02-23,0.0
2015-02-24,0.045833
2015-02-25,0.3
2015-02-26,0.204167
2015-02-27,0.1
2015-02-28,0.126087
2015-03-01,0.4
2015-03-02,0.4
2015-03-03,0.8
2015-03-04,0.6
2015-03-05,0.304167
2015-03-06,0.125
2015-03-07,0.343478
2015-03-08,0.3
2015-03-09,0.3
2015-03-10,0.3
2015-03-11,0.208333
2015-03-12,0.3
2015-03-13,0.333333
2015-03-14,0.322727
2015-03-15,0.1125
2015-03-16,0.319048
2015-03-17,0.3
2015-03-18,0.347826
2015-03-19,0.447619
2015-03-20,0.345833
2015-03-21,0.308696
2015-03-22,0.4
2015-03-23,0.521739
2015-03-24,0.6
2015-03-25,0.541667
2015-03-26,0.4
2015-03-27,0.404167
2015-03-28,0.53913
2015-03-29,0.2125
2015-03-30,0.116667
2015-03-31,0.2
