date_local,NO2
2018-01-01,4.429167
2018-01-02,8.170833
2018-01-03,16.270833
2018-01-04,29.620833
2018-01-05,31.145833
2018-01-06,23.975
2018-01-07,10.4
2018-01-08,10.341667
2018-01-09,27.204167
2018-01-10,15.770833
2018-01-11,8.475
2018-01-12,9.6875
2018-01-13,15.075
2018-01-14,24.475
2018-01-15,19.4125
2018-01-16,2.8125
2018-01-17,17.408333
2018-01-18,26.0625
2018-01-19,23.491667
2018-01-20,16.2625
2018-01-21,8.918182
2018-01-22,5.091667
2018-01-23,21.545833
2018-01-24,31.2625
2018-01-25,28.416667
2018-01-26,20.658333
2018-01-27,8.1625
2018-01-28,6.677273
2018-01-29,10.470833
2018-01-30,26.454167
2018-01-31,18.966667
2018-02-01,8.708333
2018-02-02,13.508333
2018-02-03,15.4125
2018-02-04,11.468182
2018-02-05,12.854167
2018-02-06,10.958333
2018-02-07,7.129167
2018-02-08,17.1875
2018-02-09,17.977273
2018-02-10,9.85
2018-02-11,5.2
2018-02-12,11.258333
2018-02-13,13.175
2018-02-14,14.6125
2018-02-15,11.579167
2018-02-16,14.158333
2018-02-17,13.633333
2018-02-18,9.35
2018-02-19,7.5625
2018-02-20,9.0875
2018-02-21,4.0875
2018-02-22,5.65
2018-02-23,12.841667
2018-02-24,8.491667
2018-02-25,12.709091
2018-02-26,16.783333
2018-02-27,14.375
2018-02-28,11.304167
2018-03-01,4.0875
2018-03-02,18.291667
2018-03-03,19.883333
2018-03-04,8.118182
2018-03-05,6.916667
2018-03-06,16.225
2018-03-07,17.686364
2018-03-08,26.475
2018-03-09,17.466667
2018-03-10,11.479167
2018-03-11,3.87
2018-03-12,14.683333
2018-03-13,22.391667
2018-03-14,25.595833
2018-03-15,23.88125
2018-03-16,11.7625
2018-03-17,11.3625
2018-03-18,11.559091
2018-03-19,4.366667
2018-03-20,7.995833
2018-03-21,23.591667
2018-03-22,20.416667
2018-03-23,14.041667
2018-03-24,10.466667
2018-03-25,9.995455
2018-03-26,10.208333
2018-03-27,11.454167
2018-03-28,9.3375
2018-03-29,8.095833
2018-03-30,16.495833
2018-03-31,11.454167
2018-04-01,9.440909
2018-04-02,10.95
2018-04-03,7.975
2018-04-04,16.175
2018-04-05,19.479167
2018-04-06,10.0125
2018-04-07,1.929167
2018-04-08,11.655
2018-04-09,11.895833
2018-04-10,17.354545
2018-04-11,20.2625
2018-04-12,10.95
2018-04-13,10.5875
2018-04-14,3.2
2018-04-15,12.9
2018-04-16,19.033333
2018-04-17,13.545833
2018-04-18,7.65
2018-04-19,18.354167
2018-04-20,21.466667
2018-04-21,13.945833
2018-04-22,3.977273
2018-04-23,15.566667
2018-04-24,27.529167
2018-04-25,10.729167
2018-04-26,16.1
2018-04-27,18.920833
2018-04-28,20.0875
2018-04-29,14.968182
2018-04-30,15.454167
2018-05-01,11.116667
2018-05-02,8.804167
2018-05-03,9.258333
2018-05-04,9.983333
2018-05-05,12.3875
2018-05-06,15.555
2018-05-07,23.304167
2018-05-08,16.7375
2018-05-09,16.045833
2018-05-10,14.666667
2018-05-11,10.404167
2018-05-12,8.404167
2018-05-13,7.068182
2018-05-14,11.108333
2018-05-15,14.483333
2018-05-16,17.533333
2018-05-17,19.15
2018-05-18,11.518182
2018-05-19,7.391667
2018-05-20,8.422727
2018-05-21,13.408333
2018-05-22,13.895833
2018-05-23,14.425
2018-05-24,16.054167
2018-05-25,14.095833
2018-05-26,11.0
2018-05-27,11.245455
2018-05-28,12.716667
2018-05-29,15.25
2018-05-30,9.458333
2018-05-31,9.0125
2018-06-01,10.870833
2018-06-02,9.5125
2018-06-03,10.03
2018-06-04,14.520833
2018-06-05,11.595833
2018-06-06,10.3875
2018-06-07,10.958333
2018-06-08,11.2875
2018-06-09,9.004167
2018-06-10,5.540909
2018-06-11,7.270588
2018-06-12,9.15
2018-06-13,11.447368
2018-06-14,10.454167
2018-06-15,9.945833
2018-06-16,8.358333
2018-06-17,6.822727
2018-06-18,8.6375
2018-06-19,9.7375
2018-06-20,10.079167
2018-06-21,11.475
2018-06-22,8.791667
2018-06-23,5.6125
2018-06-24,4.918182
2018-06-25,8.908333
2018-06-26,8.8875
2018-06-27,8.883333
2018-06-28,7.929167
2018-06-29,7.945833
2018-06-30,5.708333
2018-07-01,6.025
2018-07-02,9.379167
2018-07-03,10.825
2018-07-04,8.4125
2018-07-05,13.166667
2018-07-06,14.891667
2018-07-07,10.245833
2018-07-08,11.186364
2018-07-09,12.1
2018-07-10,11.1625
2018-07-11,11.829167
2018-07-12,11.2875
2018-07-13,9.120833
2018-07-14,7.433333
2018-07-15,6.445455
2018-07-16,9.395833
2018-07-17,9.995833
2018-07-18,11.795833
2018-07-19,12.608333
2018-07-20,11.841667
2018-07-21,10.275
2018-07-22,9.209091
2018-07-23,13.225
2018-07-24,18.25
2018-07-25,23.4875
2018-07-26,18.866667
2018-07-27,15.470833
2018-07-28,11.116667
2018-07-29,8.635
2018-07-30,12.675
2018-07-31,15.436364
2018-08-01,18.736364
2018-08-02,24.533333
2018-08-03,22.820833
2018-08-04,10.3625
2018-08-05,7.163636
2018-08-06,11.8125
2018-08-07,11.5875
2018-08-08,9.1625
2018-08-09,9.245833
2018-08-10,8.066667
2018-08-11,9.5
2018-08-12,9.768182
2018-08-13,8.504167
2018-08-14,8.758333
2018-08-15,10.8875
2018-08-16,10.2
2018-08-17,10.9625
2018-08-18,8.645833
2018-08-19,7.418182
2018-08-20,11.0125
2018-08-21,13.004167
2018-08-22,15.829167
2018-08-23,18.204167
2018-08-24,11.825
2018-08-25,8.670833
2018-08-26,7.985
2018-08-27,8.95
2018-08-28,8.270833
2018-08-29,9.779167
