date_local,NO2
2015-08-25,17.695
2015-08-26,23.755
2015-08-27,23.445833
2015-08-28,19.965217
2015-08-29,15.904167
2015-08-30,13.175
2015-08-31,15.9
2015-09-01,16.583333
2015-09-02,19.7
2015-09-03,18.829167
2015-09-04,12.675
2015-09-05,7.729167
2015-09-06,7.845455
2015-09-07,7.4875
2015-09-08,10.591667
2015-09-09,11.879167
2015-09-10,15.7
2015-09-11,14.8125
2015-09-12,15.629167
2015-09-13,17.872727
2015-09-14,23.05
2015-09-15,17.283333
2015-09-16,13.208333
2015-09-17,15.179167
2015-09-18,14.070833
2015-09-19,15.4375
2015-09-20,14.622727
2015-09-21,22.6375
2015-09-22,24.916667
2015-09-23,23.875
2015-09-24,25.883333
2015-09-25,16.75
2015-09-26,18.970833
2015-09-27,17.705
2015-09-28,17.741667
2015-09-29,16.891667
2015-09-30,21.0
2015-10-01,19.5625
2015-10-02,19.375
2015-10-03,20.975
2015-10-04,17.6
2015-10-05,16.454167
2015-10-06,22.229167
2015-10-07,27.168182
2015-10-08,22.483333
2015-10-09,20.079167
2015-10-10,15.45
2015-10-11,20.577273
2015-10-12,21.6375
2015-10-13,21.341667
2015-10-14,36.720833
2015-10-15,24.741667
2015-10-16,29.775
2015-10-17,24.716667
2015-10-18,22.990909
2015-10-19,27.075
2015-10-20,25.429167
2015-10-21,15.179167
2015-10-22,14.145833
2015-10-23,13.325
2015-10-24,4.958333
2015-10-25,3.355
2015-10-26,5.7
2015-10-27,15.191667
2015-10-28,12.929167
2015-10-29,21.66
2015-10-30,9.75
2015-10-31,5.245833
2015-11-01,6.681818
2015-11-02,19.679167
2015-11-03,26.225
2015-11-04,20.75
2015-11-05,12.35
2015-11-06,13.045833
2015-11-07,5.4375
2015-11-08,6.2
2015-11-09,22.433333
2015-11-10,22.133333
2015-11-11,8.679167
2015-11-12,9.509091
2015-11-13,24.833333
2015-11-14,16.1875
2015-11-15,18.304167
2015-11-16,13.15
2015-11-17,11.504167
2015-11-18,22.170833
2015-11-19,26.041667
2015-11-20,25.3
2015-11-21,6.6375
2015-11-22,17.08
2015-11-23,27.404167
2015-11-24,28.225
2015-11-25,18.695833
2015-11-26,9.1375
2015-11-27,6.158333
2015-11-28,2.854167
2015-11-29,3.990909
2015-11-30,6.186957
2015-12-01,12.483333
2015-12-02,12.408333
2015-12-03,21.15
2015-12-04,25.2625
2015-12-05,24.9125
2015-12-06,12.727273
2015-12-07,25.85
2015-12-08,31.908333
2015-12-09,24.791667
2015-12-10,25.458333
2015-12-11,17.429167
2015-12-12,8.108333
2015-12-13,14.859091
2015-12-14,23.675
2015-12-15,17.8
2015-12-16,6.775
2015-12-17,12.25
2015-12-18,17.433333
2015-12-19,21.433333
2015-12-20,13.725
2015-12-21,15.158333
2015-12-22,18.654167
2015-12-23,12.720833
2015-12-24,21.1125
2015-12-25,10.616667
2015-12-26,4.420833
2015-12-27,2.05
2015-12-28,3.5625
2015-12-29,19.25
2015-12-30,12.341667
2015-12-31,10.766667
