date,avgtempC,avgtempF,winddirDegree,windspeedKmph,windspeedMiles,cloudcover,humidity,precipInches,precipMM,pressure,visibility,maxtempC,maxtempF,mintempC,mintempF,sunHour,uvIndex
2015-01-01,2,36,70,13,8,98,87,0.2,4.8,1025,10,4,40,1,35,3.8,1
2015-01-02,4,40,137,13,8,99,89,0.1,2.0,1019,8,5,41,4,39,3.8,1
2015-01-03,7,45,277,11,7,35,78,0.1,2.2,1016,9,14,57,3,38,7.1,1
2015-01-04,6,42,218,17,11,2,67,0.0,0.0,1030,10,8,47,2,36,8.7,1
2015-01-05,3,37,93,10,6,1,56,0.0,0.0,1036,10,8,47,-2,29,8.7,1
2015-01-06,9,49,208,10,6,6,56,0.0,0.0,1028,10,17,63,4,39,8.7,1
2015-01-07,6,44,68,22,14,25,69,0.0,0.0,1033,10,10,50,0,33,5.4,1
2015-01-08,-1,31,105,13,8,26,42,0.0,0.0,1035,10,4,39,-4,25,8.7,1
2015-01-09,2,35,41,15,9,85,77,0.1,3.0,1031,10,3,38,1,34,3.8,1
2015-01-10,1,33,36,9,5,94,81,0.0,0.7,1031,9,1,33,0,33,3.8,1
2015-01-11,4,40,117,7,4,47,84,0.1,2.6,1023,9,11,51,1,34,7.1,1
2015-01-12,6,42,110,14,9,34,79,0.0,0.0,1025,10,8,47,4,39,8.7,1
2015-01-13,4,39,140,14,9,61,77,0.0,0.0,1030,10,7,44,2,36,7.1,1
2015-01-14,4,39,18,11,7,96,73,0.0,0.1,1028,10,5,40,3,37,3.8,1
2015-01-15,7,44,305,10,6,45,60,0.0,0.0,1027,10,13,55,4,39,8.7,1
2015-01-16,9,48,251,7,4,6,62,0.0,0.0,1025,10,16,61,3,37,8.7,1
2015-01-17,12,53,249,18,11,53,50,0.0,0.0,1020,10,20,67,5,42,5.5,1
2015-01-18,13,55,230,12,8,13,46,0.0,0.0,1025,10,19,67,8,46,8.7,1
2015-01-19,13,55,202,16,10,1,47,0.0,0.0,1018,10,21,69,7,45,8.7,1
2015-01-20,15,60,206,9,6,1,48,0.0,0.0,1014,10,24,74,9,48,8.7,1
2015-01-21,12,53,39,16,10,68,88,0.1,1.7,1018,10,13,56,10,49,3.9,1
2015-01-22,8,47,38,28,17,100,91,0.3,7.8,1019,9,13,55,5,41,3.9,1
2015-01-23,5,42,289,22,13,66,81,0.2,4.3,1024,10,7,45,5,41,8.5,1
