date,avgtempC,avgtempF,winddirDegree,windspeedKmph,windspeedMiles,cloudcover,humidity,precipInches,precipMM,pressure,visibility,maxtempC,maxtempF,mintempC,mintempF,sunHour,uvIndex
2018-01-01,-3,27,17,20,13,48,41,0.0,0.0,1039,10,1,33,-4,24,7.1,1
2018-01-02,-2,29,112,13,8,77,45,0.0,0.0,1035,10,1,34,-4,25,3.8,1
2018-01-03,1,35,333,9,5,1,44,0.0,0.0,1031,10,10,50,-5,23,8.7,1
2018-01-04,6,42,90,6,4,43,47,0.0,0.0,1028,10,11,52,1,34,7.1,1
2018-01-05,9,48,166,9,6,48,52,0.0,0.2,1027,9,15,58,6,43,8.7,1
2018-01-06,10,50,158,10,6,52,75,0.0,0.1,1026,10,15,58,5,41,5.4,1
2018-01-07,14,58,189,20,13,86,90,0.1,3.0,1017,8,18,64,12,53,3.8,1
2018-01-08,13,55,259,18,11,2,61,0.0,0.0,1019,10,18,64,9,48,8.7,1
2018-01-09,11,53,109,7,4,9,63,0.0,0.0,1019,10,18,65,6,43,8.7,1
2018-01-10,12,53,165,16,10,46,86,0.0,0.1,1013,9,16,61,8,46,5.5,1
2018-01-11,13,55,266,21,13,41,70,0.1,2.4,1012,6,20,67,7,44,8.7,1
2018-01-12,5,42,226,20,12,1,37,0.0,0.0,1025,10,11,52,1,34,8.7,1
2018-01-13,4,39,37,13,8,2,39,0.0,0.0,1034,10,9,49,-0,32,8.7,1
2018-01-14,7,44,155,9,6,1,53,0.0,0.0,1032,10,14,57,1,33,8.7,1
2018-01-15,11,51,166,12,7,44,83,0.0,0.9,1026,9,17,63,4,39,5.5,1
2018-01-16,-3,27,51,28,18,84,63,0.0,0.4,1039,10,2,36,-4,25,3.8,1
2018-01-17,-3,26,76,11,7,1,41,0.0,0.0,1040,10,1,35,-7,19,8.7,1
2018-01-18,1,34,132,6,4,44,41,0.0,0.1,1033,10,7,44,-3,27,8.7,1
2018-01-19,5,42,162,7,5,96,73,0.0,0.3,1023,8,9,48,2,36,3.9,1
2018-01-20,13,55,190,16,10,61,89,0.0,0.0,1017,9,19,65,8,47,7.1,1
2018-01-21,17,63,183,18,11,83,95,0.1,1.7,1012,9,19,66,15,59,3.9,1
2018-01-22,12,54,313,15,10,1,45,0.0,0.1,1018,10,16,61,8,47,8.7,1
2018-01-23,10,50,195,8,5,1,31,0.0,0.0,1024,10,16,61,6,43,10.7,1
2018-01-24,10,50,71,8,5,0,40,0.0,0.0,1030,10,16,60,5,41,10.8,1
2018-01-25,10,51,161,9,5,19,46,0.0,0.0,1029,10,15,60,6,42,10.8,1
2018-01-26,13,55,151,11,7,92,87,0.0,0.2,1023,10,16,62,8,47,5.4,1
2018-01-27,16,61,88,12,7,92,90,0.0,0.4,1021,6,18,64,15,58,5.4,1
2018-01-28,14,57,58,14,9,22,63,0.0,0.0,1025,10,19,66,10,50,10.8,1
2018-01-29,11,52,103,14,9,0,45,0.0,0.0,1031,10,16,61,8,46,10.8,1
2018-01-30,10,49,114,11,7,0,45,0.0,0.0,1030,10,17,62,4,39,10.8,1
2018-01-31,12,54,191,21,13,5,66,0.0,0.0,1019,10,20,67,6,42,10.9,1
2018-02-01,15,60,189,19,12,53,68,0.0,0.0,1017,10,21,69,12,54,7.0,1
2018-02-02,10,50,48,19,12,36,50,0.0,0.0,1029,10,13,55,7,44,10.1,1
2018-02-03,11,51,171,14,9,64,68,0.0,0.5,1019,9,16,60,7,45,7.0,1
2018-02-04,15,59,138,12,7,4,75,0.0,0.0,1014,10,22,72,11,51,10.9,1
2018-02-05,8,47,72,13,8,52,62,0.0,0.0,1021,10,13,55,4,40,8.5,1
2018-02-06,9,48,79,13,8,97,80,0.1,2.1,1018,9,11,52,7,44,5.5,1
2018-02-07,4,40,96,21,13,70,64,0.0,0.3,1027,10,7,44,3,37,8.5,1
