date_local,PM2.5
2019-01-01,41.041667
2019-01-02,6.625
2019-01-03,7.125
2019-01-04,10.875
2019-01-05,14.958333
2019-01-06,10.916667
2019-01-07,7.956522
2019-01-08,8.6
2019-01-09,3.058824
2019-01-10,6.583333
2019-01-11,6.916667
2019-01-12,4.375
2019-01-13,7.541667
2019-01-14,14.5
2019-01-15,14.375
2019-01-16,15.0
2019-01-17,5.666667
2019-01-18,10.041667
2019-01-19,3.291667
2019-01-20,3.875
2019-01-21,6.458333
2019-01-22,6.5
2019-01-23,5.333333
2019-01-24,10.076923
2019-01-25,7.375
2019-01-26,6.958333
2019-01-27,8.375
2019-01-28,7.333333
2019-01-29,2.958333
2019-01-30,5.375
2019-01-31,7.708333
2019-02-01,7.958333
2019-02-02,11.833333
2019-02-03,11.25
2019-02-04,17.5
2019-02-05,22.090909
2019-02-06,19.0
2019-02-07,9.041667
2019-02-08,7.416667
2019-02-09,9.666667
2019-02-10,7.041667
2019-02-11,12.083333
2019-02-12,6.0
2019-02-13,8.291667
2019-02-14,7.25
2019-02-15,12.041667
2019-02-16,16.833333
2019-02-17,11.583333
2019-02-18,5.083333
2019-02-19,5.5
2019-02-20,4.625
2019-02-21,6.666667
2019-02-22,8.458333
2019-02-23,7.0
2019-02-24,3.75
2019-02-25,6.833333
2019-02-26,10.791667
2019-02-27,10.708333
2019-02-28,11.791667
2019-03-01,26.791667
2019-03-02,21.333333
2019-03-03,6.916667
2019-03-04,7.565217
2019-03-05,7.478261
2019-03-06,11.291667
2019-03-07,9.0
2019-03-08,8.583333
2019-03-09,14.916667
2019-03-10,14.75
2019-03-11,16.545455
2019-03-12,11.458333
2019-03-13,9.541667
2019-03-14,8.625
2019-03-15,2.708333
2019-03-16,4.416667
2019-03-17,6.541667
2019-03-18,11.266667
2019-03-19,13.041667
2019-03-20,13.333333
2019-03-21,8.458333
2019-03-22,12.125
2019-03-23,9.291667
2019-03-24,8.625
2019-03-25,8.458333
2019-03-26,6.833333
2019-03-27,10.0
2019-03-28,8.75
2019-03-29,8.416667
2019-03-30,4.416667
2019-03-31,4.125
2019-04-01,5.181818
2019-04-02,7.363636
2019-04-03,7.2
2019-04-04,12.4
2019-04-05,17.791667
2019-04-06,14.708333
2019-04-07,7.875
2019-04-08,5.916667
2019-04-09,9.833333
2019-04-10,9.541667
2019-04-11,8.875
2019-04-12,8.25
2019-04-13,6.291667
2019-04-14,5.958333
2019-04-15,7.041667
2019-04-16,6.208333
2019-04-17,13.958333
2019-04-18,4.958333
2019-04-19,2.416667
2019-04-20,5.5
2019-04-21,5.833333
2019-04-22,6.333333
2019-04-23,12.041667
2019-04-24,3.666667
2019-04-25,5.5
2019-04-26,7.0
2019-04-27,9.791667
2019-04-28,7.666667
2019-04-29,13.083333
2019-04-30,15.791667
2019-05-01,14.958333
2019-05-02,6.208333
2019-05-03,5.75
2019-05-04,4.916667
2019-05-05,8.791667
2019-05-06,10.833333
2019-05-07,10.041667
2019-05-08,6.875
2019-05-09,15.75
2019-05-10,5.375
2019-05-11,5.041667
2019-05-12,3.958333
2019-05-13,6.666667
2019-05-14,12.857143
2019-05-15,10.791667
2019-05-16,10.708333
2019-05-17,15.0
2019-05-18,20.875
2019-05-19,24.458333
2019-05-20,17.25
2019-05-21,12.666667
2019-05-22,21.916667
2019-05-23,15.083333
2019-05-24,11.458333
2019-05-25,9.458333
2019-05-26,9.708333
2019-05-27,10.583333
2019-05-28,11.75
2019-05-29,12.0
2019-05-30,7.666667
2019-05-31,10.666667
2019-06-01,9.125
2019-06-02,7.291667
2019-06-03,6.791667
2019-06-04,6.916667
2019-06-05,4.541667
2019-06-06,5.375
2019-06-07,5.958333
2019-06-08,9.125
2019-06-09,10.25
2019-06-10,7.166667
2019-06-11,9.708333
2019-06-12,11.25
2019-06-13,6.666667
2019-06-14,10.375
2019-06-15,8.166667
2019-06-16,8.666667
2019-06-17,5.291667
2019-06-18,8.75
2019-06-19,11.041667
2019-06-20,17.958333
2019-06-21,15.75
2019-06-22,14.291667
2019-06-23,12.75
2019-06-24,8.208333
2019-06-25,8.333333
2019-06-26,14.583333
2019-06-27,18.75
2019-06-28,18.083333
2019-06-29,20.041667
2019-06-30,9.291667
2019-07-01,13.958333
2019-07-02,6.833333
2019-07-03,12.625
2019-07-04,21.416667
2019-07-05,13.958333
2019-07-06,12.833333
2019-07-07,10.043478
2019-07-08,7.333333
2019-07-09,14.791667
2019-07-10,9.5
2019-07-11,6.208333
2019-07-12,8.541667
2019-07-13,9.583333
2019-07-14,6.541667
2019-07-15,16.0
2019-07-16,9.25
2019-07-17,8.708333
2019-07-18,7.333333
2019-07-19,8.958333
2019-07-20,14.458333
2019-07-21,15.666667
2019-07-22,12.083333
2019-07-23,7.75
2019-07-24,8.25
2019-07-25,9.875
2019-07-26,12.458333
2019-07-27,10.333333
2019-07-28,15.25
2019-07-29,11.5
2019-07-30,12.958333
2019-07-31,17.416667
2019-08-01,12.608696
2019-08-02,10.833333
2019-08-03,9.25
2019-08-04,8.5
2019-08-05,8.0
2019-08-06,7.791667
2019-08-07,13.666667
2019-08-08,12.625
2019-08-09,13.863636
2019-08-10,10.0
2019-08-11,7.958333
2019-08-12,8.333333
2019-08-13,8.166667
2019-08-14,10.5
2019-08-15,10.25
2019-08-16,11.434783
2019-08-17,10.083333
2019-08-18,10.916667
2019-08-19,10.125
2019-08-20,22.791667
2019-08-21,17.583333
2019-08-22,11.041667
2019-08-23,5.791667
2019-08-24,7.458333
2019-08-25,13.333333
2019-08-26,21.833333
2019-08-27,10.0
2019-08-28,9.541667
2019-08-29,11.5
2019-08-30,10.083333
2019-08-31,7.75
2019-09-01,10.708333
2019-09-02,12.041667
2019-09-03,9.583333
2019-09-04,11.142857
2019-09-05,9.75
2019-09-06,10.25
2019-09-07,9.666667
2019-09-08,11.25
2019-09-09,8.416667
2019-09-10,8.916667
2019-09-11,8.708333
2019-09-12,7.083333
2019-09-13,9.541667
2019-09-14,13.291667
2019-09-15,11.416667
2019-09-16,9.166667
2019-09-17,5.283333
2019-09-18,4.5125
2019-09-19,10.541667
2019-09-20,7.166667
2019-09-21,8.041667
2019-09-22,5.708333
2019-09-23,7.083333
2019-09-24,5.916667
2019-09-25,6.083333
2019-09-26,6.416667
2019-09-27,6.125
2019-09-28,6.375
2019-09-29,6.875
2019-09-30,7.708333
