date_local,PM10
2019-01-03,9.0
2019-01-09,13.0
2019-01-15,20.0
2019-01-21,13.0
2019-02-02,11.0
2019-02-08,11.0
2019-02-14,20.0
2019-02-20,11.0
2019-02-26,14.0
2019-03-04,10.0
2019-03-10,21.0
2019-03-16,10.0
2019-03-22,33.0
2019-03-28,24.0
2019-04-03,16.0
2019-04-09,24.0
2019-04-15,18.0
2019-04-21,14.0
2019-04-27,21.0
2019-05-03,8.0
2019-05-09,23.0
2019-05-15,22.0
2019-05-21,28.0
2019-06-08,23.0
2019-06-14,22.0
2019-06-20,38.0
2019-06-26,35.0
2019-07-02,16.0
2019-07-08,19.0
2019-07-14,14.0
2019-07-20,35.0
2019-07-26,29.0
2019-08-01,31.0
2019-08-07,30.0
2019-08-13,20.0
2019-08-19,28.0
2019-08-25,20.0
2019-08-31,17.0
2019-09-06,24.0
2019-09-12,21.0
2019-09-18,13.0
2019-09-24,18.0
2019-09-30,17.0
