date_local,NO2
2016-01-01,3.925
2016-01-02,7.8875
2016-01-03,10.018182
2016-01-04,17.608333
2016-01-05,23.75
2016-01-06,19.675
2016-01-07,15.125
2016-01-08,23.8125
2016-01-09,2.7875
2016-01-10,11.395455
2016-01-11,26.579167
2016-01-12,24.458333
2016-01-13,31.904167
2016-01-14,26.8
2016-01-15,17.8125
2016-01-16,17.45
2016-01-17,19.93
2016-01-18,22.395833
2016-01-19,24.941667
2016-01-20,15.595833
2016-01-21,9.183333
2016-01-22,6.191667
2016-01-23,22.258333
2016-01-24,18.713636
2016-01-25,16.129167
2016-01-26,7.283333
2016-01-27,13.5125
2016-01-28,19.8875
2016-01-29,25.170833
2016-01-30,20.4125
2016-01-31,17.604545
2016-02-01,15.366667
2016-02-02,7.504167
2016-02-03,5.995833
2016-02-04,22.682609
2016-02-05,29.0375
2016-02-06,9.4625
2016-02-07,22.795455
2016-02-08,6.8375
2016-02-09,11.4
2016-02-10,27.15
2016-02-11,17.883333
2016-02-12,18.404545
2016-02-13,11.675
2016-02-14,12.91
2016-02-15,13.683333
2016-02-16,16.416667
2016-02-17,23.721053
2016-02-18,17.2
2016-02-19,14.79
2016-02-20,10.775
2016-02-21,12.6
2016-02-22,11.391667
2016-02-23,5.5375
2016-02-24,9.070833
2016-02-25,17.1625
2016-02-26,23.016667
2016-02-27,18.770833
2016-02-28,13.763636
2016-02-29,15.25
2016-03-01,6.704167
2016-03-02,20.291667
2016-03-03,7.93913
2016-03-04,23.266667
2016-03-05,19.945833
2016-03-06,10.936364
2016-03-07,8.591667
2016-03-08,11.379167
2016-03-09,9.8375
2016-03-10,5.5125
2016-03-11,17.308333
2016-03-12,12.491667
2016-03-13,12.74
2016-03-14,20.570833
2016-03-15,10.927273
2016-03-16,22.808333
2016-03-17,17.375
2016-03-18,13.058333
2016-03-19,3.891667
2016-03-20,6.268182
2016-03-21,20.858333
2016-03-22,16.479167
2016-03-23,11.945833
2016-03-24,6.733333
2016-03-25,21.891667
2016-03-26,19.770833
2016-03-27,6.504545
2016-03-28,18.854167
2016-03-29,17.316667
2016-03-30,9.320833
2016-03-31,12.658333
2016-04-01,10.620833
2016-04-02,8.783333
2016-04-03,20.959091
2016-04-04,20.545833
2016-04-05,18.854167
2016-04-06,12.141667
2016-04-07,27.2875
2016-04-08,29.2625
2016-04-09,20.3625
2016-04-10,9.47
2016-04-11,12.9375
2016-04-12,8.566667
2016-04-13,7.695833
2016-04-14,14.108696
2016-04-15,18.75
2016-04-16,9.516667
2016-04-17,11.445455
2016-04-18,14.445833
2016-04-19,17.35
2016-04-20,19.45
2016-04-21,11.5375
2016-04-22,16.7875
2016-04-23,20.529167
2016-04-24,13.231818
2016-04-25,11.654167
2016-04-26,10.416667
2016-04-27,12.686957
2016-04-28,17.666667
2016-04-29,10.875
2016-04-30,14.3125
2016-05-01,6.009091
2016-05-02,3.816667
2016-05-03,13.116667
2016-05-04,8.920833
2016-05-05,19.070833
2016-05-06,26.927778
2016-05-07,16.508333
2016-05-08,9.775
2016-05-09,14.6875
2016-05-10,14.325
2016-05-11,16.5
2016-05-12,19.5
2016-05-13,23.436842
2016-05-14,15.805
2016-05-15,10.872727
2016-05-16,18.041667
2016-05-17,15.154545
2016-05-18,7.309091
2016-05-19,10.027273
2016-05-20,15.842857
2016-05-21,16.291667
2016-05-22,8.604167
2016-05-23,10.784211
2016-05-24,10.0625
2016-05-25,10.2
2016-05-26,9.583333
2016-05-27,14.275
2016-05-28,11.245833
2016-05-29,8.972727
2016-05-30,11.725
2016-05-31,13.577778
2016-06-01,13.483333
2016-06-02,5.3375
2016-06-03,13.233333
2016-06-04,5.016667
2016-06-05,5.795
2016-06-06,10.566667
2016-06-07,21.25
2016-06-08,20.758333
2016-06-09,20.504167
2016-06-10,19.729167
2016-06-11,11.820833
2016-06-12,6.677273
2016-06-13,9.3125
2016-06-14,9.545833
2016-06-15,10.391667
2016-06-16,10.25
2016-06-17,12.283333
2016-06-18,11.4625
2016-06-19,10.004545
2016-06-20,13.1375
2016-06-21,11.9
2016-06-22,12.129167
2016-06-23,13.741667
2016-06-24,13.054167
2016-06-25,9.175
2016-06-26,8.313636
2016-06-27,13.0375
2016-06-28,20.5
2016-06-29,26.442857
2016-06-30,21.725
2016-07-01,19.55
2016-07-02,6.879167
2016-07-03,4.99
2016-07-04,5.0
2016-07-05,8.916667
2016-07-06,8.633333
2016-07-07,8.184211
2016-07-08,8.716667
2016-07-09,7.741667
2016-07-10,5.777273
2016-07-11,6.5375
2016-07-12,7.775
2016-07-13,8.5375
2016-07-14,8.933333
2016-07-15,9.083333
2016-07-16,8.8875
2016-07-17,8.027273
2016-07-18,11.75
2016-07-19,13.804167
2016-07-20,13.6125
2016-07-21,13.2625
2016-07-22,13.775
2016-07-23,10.258333
2016-07-24,7.659091
2016-07-25,10.645833
2016-07-26,14.129167
2016-07-27,13.1875
2016-07-28,11.983333
2016-07-29,13.815789
2016-07-30,9.1375
2016-07-31,6.6
2016-08-01,9.791667
2016-08-02,10.170833
2016-08-03,11.241667
2016-08-04,11.747368
2016-08-05,12.016667
2016-08-06,9.066667
2016-08-07,7.236364
2016-08-08,9.166667
2016-08-09,10.520833
2016-08-10,9.229167
2016-08-11,9.941667
2016-08-12,8.858333
2016-08-13,8.6
2016-08-14,11.031818
2016-08-15,12.666667
2016-08-16,10.645833
2016-08-17,10.841667
2016-08-18,11.629167
2016-08-19,8.729167
2016-08-20,8.216667
2016-08-21,8.022727
2016-08-22,10.141667
2016-08-23,7.966667
2016-08-24,8.816667
2016-08-25,11.133333
2016-08-26,13.754167
2016-08-27,13.233333
2016-08-28,11.48
2016-08-29,10.554167
2016-08-30,11.4
2016-08-31,18.804167
2016-09-01,12.066667
2016-09-02,12.445833
2016-09-03,14.754167
2016-09-04,11.259091
2016-09-05,7.720833
2016-09-06,9.35
2016-09-07,9.666667
2016-09-08,10.029167
2016-09-09,8.3125
2016-09-10,5.116667
2016-09-11,10.386364
2016-09-12,18.831818
2016-09-13,16.591667
2016-09-14,18.958333
2016-09-15,17.470833
2016-09-16,16.029167
2016-09-17,14.9625
2016-09-18,10.277273
2016-09-19,12.8
2016-09-20,15.779167
2016-09-21,22.925
2016-09-22,18.220833
2016-09-23,12.5375
2016-09-24,7.483333
2016-09-25,7.51
2016-09-26,5.833333
2016-09-27,8.029167
2016-09-28,11.504167
2016-09-29,9.691667
2016-09-30,15.579167
2016-10-01,21.770833
2016-10-02,19.036364
2016-10-03,25.341667
2016-10-04,19.391667
2016-10-05,13.729167
2016-10-06,11.966667
2016-10-07,9.491667
2016-10-08,5.2375
2016-10-09,15.245455
2016-10-10,24.445833
2016-10-11,29.808333
2016-10-12,20.041667
2016-10-13,15.029167
2016-10-14,17.870833
2016-10-15,11.633333
2016-10-16,9.095455
2016-10-17,10.845833
2016-10-18,10.229167
2016-10-19,11.425
