date_local,PM2.5
2015-01-06,8.5
2015-01-12,7.2
2015-01-18,6.0
2015-01-24,7.6
2015-01-30,6.1
2015-02-05,9.7
2015-02-11,11.3
2015-02-17,6.8
2015-03-01,8.5
2015-03-07,10.0
2015-03-13,6.4
2015-03-19,10.2
2015-03-25,5.0
2015-03-31,8.7
2015-04-06,11.1
2015-04-12,12.5
2015-04-18,5.6
2015-04-24,17.2
2015-04-30,9.4
2015-05-06,8.8
2015-05-12,6.1
2015-05-30,5.5
2015-06-05,8.6
2015-06-11,5.6
2015-06-30,19.7
2015-07-05,18.3
2015-07-11,17.7
2015-07-17,7.9
2015-07-23,13.8
2015-07-29,15.8
2015-08-04,16.4
2015-08-10,9.7
2015-08-16,13.8
2015-08-22,8.3
2015-08-28,14.6
2015-09-03,3.7
2015-09-09,7.1
2015-09-15,6.5
2015-09-21,8.3
2015-09-27,15.4
2015-10-06,8.2
2015-10-14,15.1
2015-10-15,10.5
2015-10-21,7.8
2015-10-27,5.9
2015-11-03,11.2
2015-11-08,4.5
2015-11-14,7.6
2015-11-26,3.9
2015-12-02,6.0
2015-12-09,10.7
2015-12-20,6.5
2015-12-26,10.2
