date_local,SO
2016-01-01,0.0
2016-01-02,0.047826
2016-01-03,0.420833
2016-01-04,0.5
2016-01-05,0.9
2016-01-06,0.6125
2016-01-07,0.625
2016-01-08,0.9
2016-01-09,0.514286
2016-01-10,0.2
2016-01-11,0.720833
2016-01-12,0.404167
2016-01-13,0.7
2016-01-14,0.6
2016-01-15,0.429167
2016-01-16,0.804545
2016-01-17,0.341667
2016-01-18,0.2
2016-01-19,0.2
2016-01-20,0.2
2016-01-21,0.2
2016-01-22,0.016667
2016-01-23,0.330435
2016-01-24,1.0125
2016-01-25,0.6
2016-01-26,0.4
2016-01-27,0.3
2016-01-28,0.3
2016-01-29,0.808333
2016-01-30,1.2
2016-01-31,0.4
2016-02-01,0.341667
2016-02-02,0.229167
2016-02-03,0.029167
2016-02-04,0.0125
2016-02-05,0.6
2016-02-06,0.143478
2016-02-07,0.629167
2016-02-08,0.4
2016-02-09,0.333333
2016-02-10,1.3375
2016-02-11,1.020833
2016-02-12,0.804167
2016-02-13,0.731818
2016-02-14,0.2
2016-02-15,0.0125
2016-02-16,0.2
2016-02-17,0.4
2016-02-18,0.1375
2016-02-19,0.2
2016-02-20,0.1
2016-02-21,0.2
2016-02-22,0.225
2016-02-23,0.241667
2016-02-24,0.029167
2016-02-25,0.016667
2016-02-26,0.3
2016-02-27,0.634783
2016-02-28,0.145833
2016-02-29,0.2
2016-03-01,0.2
2016-03-02,0.6
2016-03-03,0.3
2016-03-04,0.4
2016-03-05,0.2
2016-03-06,0.1
2016-03-07,0.1
2016-03-08,0.2
2016-03-09,0.1
2016-03-10,0.1
2016-03-11,0.045833
2016-03-12,0.036364
2016-03-13,0.0
2016-03-14,0.05
2016-03-15,-0.0625
2016-03-16,0.117391
2016-03-17,-0.06
2016-03-18,-0.085714
2016-03-19,-0.1
2016-03-20,0.2
2016-03-21,0.4
2016-03-22,0.5
2016-03-23,0.4
2016-03-24,0.3
2016-03-25,0.5
2016-03-26,0.543478
2016-03-27,0.108333
2016-03-28,0.4
2016-03-29,0.2375
2016-03-30,0.4
2016-03-31,0.429167
2016-04-01,0.4
2016-04-02,0.143478
2016-04-03,0.1375
2016-04-04,0.204167
2016-04-05,0.225
2016-04-06,0.045833
2016-04-07,0.116667
2016-04-08,0.4
2016-04-09,0.609091
2016-04-10,0.1
2016-04-11,0.1
2016-04-12,0.0
2016-04-13,0.0
2016-04-14,0.1
2016-04-15,0.2
2016-04-16,0.147826
2016-04-17,-0.025
2016-04-18,-0.157143
2016-04-19,-0.05
2016-04-20,-0.0625
2016-04-21,-0.025
2016-04-22,-0.071429
2016-04-23,0.1
2016-04-24,0.1
2016-04-25,0.1
2016-04-26,0.3
2016-04-27,0.129167
2016-04-28,0.1
2016-04-29,0.1375
2016-04-30,0.2
2016-05-01,0.208333
2016-05-02,0.108333
2016-05-03,0.1125
2016-05-04,0.208333
2016-05-05,0.13
2016-05-06,0.033333
2016-05-07,0.131818
2016-05-08,0.2
2016-05-09,0.072727
2016-05-10,0.1375
2016-05-11,0.1
2016-05-12,0.041667
2016-05-13,0.4
2016-05-14,0.1
2016-05-15,0.3
2016-05-16,0.3
2016-05-17,0.3
2016-05-18,0.2
2016-05-19,0.233333
2016-05-20,0.3
2016-05-21,0.2
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.008333
2016-05-26,0.029167
2016-05-27,0.1
2016-05-28,0.021739
2016-05-29,0.004167
2016-05-30,0.016667
2016-05-31,0.1
2016-06-01,0.1
2016-06-02,0.04
2016-06-03,-0.25
2016-06-04,-0.083333
2016-06-05,0.0
2016-06-06,0.0375
2016-06-07,0.1
2016-06-08,0.0
2016-06-09,-0.0625
2016-06-10,0.0
2016-06-11,0.0
2016-06-12,0.1
2016-06-13,0.125
2016-06-14,0.1125
2016-06-15,0.2
2016-06-16,0.145833
2016-06-17,0.2125
2016-06-18,0.143478
2016-06-19,-0.1125
2016-06-20,-0.085714
2016-06-21,-0.075
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.029167
2016-06-28,0.045833
2016-06-29,0.1
2016-06-30,0.045833
2016-07-01,0.1
2016-07-02,0.042857
2016-07-03,-0.05
2016-07-04,-0.0625
2016-07-05,-0.075
2016-07-06,-0.025
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,0.017391
2016-07-10,0.225
2016-07-11,0.3
2016-07-12,0.241667
2016-07-13,0.304167
2016-07-14,0.3
2016-07-15,0.3
2016-07-16,0.3
2016-07-17,0.325
2016-07-18,0.3
2016-07-19,0.3
2016-07-20,0.3
2016-07-21,0.3375
2016-07-22,0.4
2016-07-23,0.4
2016-07-24,0.0125
2016-07-25,0.0
2016-07-26,0.0
2016-07-27,0.0
2016-07-28,0.0
2016-07-29,0.0
2016-07-30,0.013636
2016-07-31,0.0
2016-08-01,0.025
2016-08-02,0.0
2016-08-03,0.1
2016-08-04,0.1
2016-08-05,0.1
2016-08-06,0.1
2016-08-07,0.120833
2016-08-08,0.1
2016-08-09,0.1
2016-08-10,0.1
2016-08-11,0.104167
2016-08-12,0.2
2016-08-13,0.025
2016-08-14,0.004167
2016-08-15,0.113636
2016-08-16,0.2
2016-08-17,0.2
2016-08-18,0.2
2016-08-19,0.3
2016-08-20,0.3
2016-08-21,0.016667
2016-08-22,0.1
2016-08-23,0.0375
2016-08-24,0.1
2016-08-25,0.1125
2016-08-26,0.2
2016-08-27,0.2
2016-08-28,0.2
2016-08-29,0.2
2016-08-30,0.245833
2016-08-31,0.2125
2016-09-01,0.3375
2016-09-02,0.325
2016-09-03,0.3
2016-09-04,0.025
2016-09-05,0.0125
2016-09-06,0.0125
2016-09-07,0.0
2016-09-08,0.1
2016-09-09,0.104167
2016-09-10,0.0
2016-09-11,0.1
2016-09-12,0.0
2016-09-13,-0.05
2016-09-14,0.0
