date_local,Ozone(ppm)
2015-08-02,0.058588
2015-08-03,0.054333000000000006
2015-08-04,0.030059
2015-08-05,0.028999999999999998
2015-08-06,0.029764999999999996
2015-08-07,0.026764999999999997
2015-08-08,0.028118
2015-08-09,0.029588
2015-08-10,0.040471
2015-08-11,0.046353
2015-08-12,0.05229400000000001
2015-08-13,0.057176
2015-08-14,0.050529000000000004
2015-08-15,0.063588
2015-08-16,0.05625
2015-08-17,0.046471
2015-08-18,0.032764999999999996
2015-08-19,0.039588
2015-08-20,0.030417000000000003
2015-08-21,0.037176
2015-08-22,0.026764999999999997
2015-08-23,0.031824
2015-08-24,0.034176
2015-08-25,0.044647000000000006
2015-08-26,0.056059000000000005
2015-08-27,0.065706
2015-08-28,0.068353
2015-08-29,0.065294
2015-08-30,0.049125
2015-08-31,0.036706
2015-09-01,0.037529
2015-09-02,0.037824
2015-09-03,0.035
2015-09-04,0.028647000000000002
2015-09-05,0.023647
2015-09-06,0.023235
2015-09-07,0.025118
2015-09-08,0.025824
2015-09-09,0.023587999999999998
2015-09-10,0.024
2015-09-11,0.032882
2015-09-12,0.041824
2015-09-13,0.047941000000000004
2015-09-14,0.050235
2015-09-15,0.031682
2015-09-16,0.030352999999999998
2015-09-17,0.031764999999999995
2015-09-18,0.031353
2015-09-19,0.038118
2015-09-20,0.038647
2015-09-21,0.044000000000000004
2015-09-22,0.051412
2015-09-23,0.055412
2015-09-24,0.050792000000000004
2015-09-25,0.042707999999999996
2015-09-26,0.052471000000000004
2015-09-27,0.054706
2015-09-28,0.042957999999999996
2015-09-29,0.037824
2015-09-30,0.048764999999999996
2015-10-01,0.05411799999999999
2015-10-02,0.051
2015-10-03,0.048882
2015-10-04,0.047764999999999995
2015-10-05,0.040706
2015-10-06,0.049176
2015-10-07,0.052059
2015-10-08,0.041882
2015-10-09,0.047175999999999996
2015-10-10,0.044235000000000003
2015-10-11,0.059000000000000004
2015-10-12,0.047458
2015-10-13,0.047706
2015-10-14,0.058059000000000006
2015-10-15,0.048
2015-10-16,0.053059
2015-10-17,0.055929
2015-10-18,0.048941000000000005
2015-10-19,0.054000000000000006
2015-10-20,0.044333
2015-10-21,0.0345
2015-10-22,0.02475
2015-10-23,0.019118
2015-10-24,0.030636
2015-10-25,0.023824
2015-10-26,0.031294
2015-10-27,0.035294
2015-10-28,0.036292000000000005
2015-10-29,0.049235
2015-10-30,0.02875
2015-10-31,0.029174000000000002
2015-11-01,0.025
2015-11-02,0.032824
2015-11-03,0.041647
2015-11-04,0.032941000000000005
2015-11-05,0.020291999999999998
2015-11-06,0.025667000000000002
2015-11-07,0.030824
2015-11-08,0.032917
2015-11-09,0.025588
2015-11-10,0.026764999999999997
2015-11-11,0.034059
2015-11-12,0.034957999999999996
2015-11-13,0.031412
2015-11-14,0.033118
2015-11-15,0.037882
2015-11-16,0.026167000000000003
2015-11-17,0.024708
2015-11-18,0.031471
2015-11-19,0.035
2015-11-20,0.038118
2015-11-21,0.034588
2015-11-22,0.02925
2015-11-23,0.032824
2015-11-24,0.027583
2015-11-25,0.034647000000000004
2015-11-26,0.029542000000000002
2015-11-27,0.020875
2015-11-28,0.014609
2015-11-29,0.009833
2015-11-30,0.008412000000000001
2015-12-01,0.009706000000000001
2015-12-02,0.032353
2015-12-03,0.027042
2015-12-04,0.024471
2015-12-05,0.029941000000000002
2015-12-06,0.028412
2015-12-07,0.033471
2015-12-08,0.040706
2015-12-09,0.027208
2015-12-10,0.030042000000000003
2015-12-11,0.027764999999999998
2015-12-12,0.025958
2015-12-13,0.027375
2015-12-14,0.033471
2015-12-15,0.029582999999999998
2015-12-16,0.032833
2015-12-17,0.033882
2015-12-18,0.024333
2015-12-19,0.037471
2015-12-20,0.027917
2015-12-21,0.025792000000000002
2015-12-22,0.031058999999999996
2015-12-23,0.027353
2015-12-24,0.024666999999999998
2015-12-25,0.019583
2015-12-26,0.021059
2015-12-27,0.020412
2015-12-28,0.029417000000000002
2015-12-29,0.023353
2015-12-30,0.020881999999999998
2015-12-31,0.029167000000000002
2016-01-01,0.031542
2016-01-02,0.025435
2016-01-03,0.027647
2016-01-04,0.028542
2016-01-05,0.027706
2016-01-06,0.013125
2016-01-07,0.021176
2016-01-08,0.026529
2016-01-09,0.026565
2016-01-10,0.030118000000000002
2016-01-11,0.02075
2016-01-12,0.034588
2016-01-13,0.039882
2016-01-14,0.039058999999999996
2016-01-15,0.031412
2016-01-16,0.030764999999999997
2016-01-17,0.028582999999999997
2016-01-18,0.022824
2016-01-19,0.033375
2016-01-20,0.019333000000000003
2016-01-21,0.029882
2016-01-22,0.029167000000000002
2016-01-23,0.029058999999999998
2016-01-24,0.042706
2016-01-25,0.037917
2016-01-26,0.029207999999999998
2016-01-27,0.031529
2016-01-28,0.034352999999999995
2016-01-29,0.042352999999999995
2016-01-30,0.041882
2016-01-31,0.035625
2016-02-01,0.039764999999999995
2016-02-02,0.042667000000000004
2016-02-03,0.037542
2016-02-04,0.0325
2016-02-05,0.043294
2016-02-06,0.040522
2016-02-07,0.043118000000000004
2016-02-08,0.041042
2016-02-09,0.035588
2016-02-10,0.043059
2016-02-11,0.046667
2016-02-12,0.051882000000000005
2016-02-13,0.041864
2016-02-14,0.032167
2016-02-15,0.036176
2016-02-16,0.042529000000000004
2016-02-17,0.046529
2016-02-18,0.046882
2016-02-19,0.043833
2016-02-20,0.028881999999999998
2016-02-21,0.023375
2016-02-22,0.030764999999999997
2016-02-23,0.035588
2016-02-24,0.038058999999999996
2016-02-25,0.039882
2016-02-26,0.038882
2016-02-27,0.050412
2016-02-28,0.042647000000000004
2016-02-29,0.039875
2016-03-01,0.040529
2016-03-02,0.040293999999999996
2016-03-03,0.042529000000000004
2016-03-04,0.046471
2016-03-05,0.050941
2016-03-06,0.04425
2016-03-07,0.032458
2016-03-08,0.033471
2016-03-09,0.035708
2016-03-10,0.028582999999999997
2016-03-11,0.035235
2016-03-12,0.042294
2016-03-13,0.042235
2016-03-14,0.047764999999999995
2016-03-15,0.042647000000000004
2016-03-16,0.035651999999999996
2016-03-17,0.023059
2016-03-18,0.027941000000000004
2016-03-19,0.042706
2016-03-20,0.036417000000000005
2016-03-21,0.044000000000000004
2016-03-22,0.044765
2016-03-23,0.039167
2016-03-24,0.037000000000000005
2016-03-25,0.044000000000000004
2016-03-26,0.039435000000000005
2016-03-27,0.034706
2016-03-28,0.041529
2016-03-29,0.029125
2016-03-30,0.018175999999999998
2016-03-31,0.047471
2016-04-01,0.034095
2016-04-02,0.035
2016-04-03,0.046412
2016-04-04,0.049647000000000004
2016-04-05,0.052705999999999996
2016-04-06,0.044000000000000004
2016-04-07,0.051176
2016-04-08,0.048647
2016-04-09,0.052588
2016-04-10,0.041667
2016-04-11,0.032
2016-04-12,0.029042000000000002
2016-04-13,0.025042
2016-04-14,0.032235
2016-04-15,0.043294
2016-04-16,0.027261
2016-04-17,0.029764999999999996
2016-04-18,0.031667
2016-04-19,0.029294
2016-04-20,0.044059
2016-04-21,0.040647
2016-04-22,0.041529
2016-04-23,0.05588200000000001
2016-04-24,0.044458
2016-04-25,0.031588
2016-04-26,0.035
2016-04-27,0.041042
2016-04-28,0.037833
2016-04-29,0.025353
2016-04-30,0.044471
2016-05-01,0.040647
2016-05-02,0.028792
2016-05-03,0.042706
2016-05-04,0.047764999999999995
2016-05-05,0.043619
2016-05-06,0.050470999999999995
2016-05-07,0.050941
