date_local,PM2.5
2018-10-11,4.9
2018-10-12,7.333333
2018-10-13,5.708333
2018-10-14,7.25
2018-10-15,1.166667
2018-10-16,1.458333
2018-10-17,2.9
2018-10-18,7.333333
2018-10-19,6.291667
2018-10-20,4.458333
2018-10-21,5.458333
2018-10-22,7.333333
2018-10-23,5.9
2018-10-24,6.5
2018-10-25,3.325
2018-10-26,9.583333
2018-10-27,11.5
2018-10-28,9.416667
2018-10-29,8.0
2018-10-30,6.958333
2018-10-31,5.458333
2018-11-01,3.916667
2018-11-02,5.823529
2018-11-03,5.333333
2018-11-04,4.333333
2018-11-05,11.666667
2018-11-06,14.125
2018-11-07,13.833333
2018-11-08,8.458333
2018-11-09,3.75
2018-11-10,4.416667
2018-11-11,6.666667
2018-11-12,3.083333
2018-11-13,5.291667
2018-11-14,5.875
2018-11-15,11.833333
2018-11-16,11.625
2018-11-17,11.625
2018-11-18,6.666667
2018-11-19,5.375
2018-11-20,11.75
2018-11-21,12.5
2018-11-22,10.375
2018-11-23,9.041667
2018-11-24,8.75
2018-11-25,5.541667
2018-11-26,4.708333
2018-11-27,8.583333
2018-11-28,5.625
2018-11-29,7.625
2018-11-30,8.208333
2018-12-01,6.875
2018-12-02,4.75
2018-12-03,2.809524
2018-12-04,4.041667
2018-12-05,8.458333
2018-12-06,8.458333
2018-12-07,2.583333
2018-12-08,1.583333
2018-12-09,6.458333
2018-12-10,6.875
2018-12-11,12.272727
2018-12-12,7.5
2018-12-13,4.125
2018-12-14,1.666667
2018-12-15,6.916667
2018-12-16,9.7
2018-12-17,10.958333
2018-12-18,11.291667
2018-12-19,11.125
2018-12-20,2.190476
2018-12-21,2.791667
2018-12-22,10.166667
2018-12-23,4.166667
2018-12-24,16.25
2018-12-25,7.166667
2018-12-26,5.208333
2018-12-27,2.708333
2018-12-28,4.333333
2018-12-29,5.958333
2018-12-30,11.541667
2018-12-31,22.625
