date_local,PM10
2017-01-01,39.0
2017-01-07,13.0
2017-01-13,20.0
2017-01-19,17.0
2017-01-25,23.0
2017-01-31,25.0
2017-02-06,15.0
2017-02-12,22.0
2017-02-18,19.0
2017-02-24,19.0
2017-03-02,13.0
2017-03-08,25.0
2017-03-14,17.0
2017-03-20,20.0
2017-03-26,30.0
2017-04-01,20.0
2017-04-07,26.0
2017-04-13,20.0
2017-04-19,15.0
2017-04-25,21.0
2017-05-01,19.0
2017-05-07,25.0
2017-05-13,18.0
2017-05-19,21.0
2017-05-25,23.0
2017-05-31,26.0
2017-06-12,17.0
2017-06-18,24.0
2017-06-24,18.0
2017-06-30,34.0
2017-07-06,23.0
2017-07-12,23.0
2017-07-18,14.0
2017-07-24,64.0
2017-08-05,25.0
2017-08-11,17.0
2017-08-23,19.0
2017-08-29,11.0
2017-09-04,21.0
2017-09-10,18.0
2017-09-16,24.0
2017-09-22,19.0
2017-09-28,21.0
2017-10-04,25.0
2017-10-10,19.0
2017-10-16,17.0
2017-10-22,11.0
2017-10-28,18.0
2017-11-03,29.0
2017-11-09,15.0
2017-11-15,23.0
2017-11-21,29.0
2017-11-27,32.0
2017-12-03,14.0
2017-12-09,25.0
2017-12-15,31.0
2017-12-21,27.0
2017-12-27,13.0
