date_local,Ozone(ppm),PM2.5,PM10,NO2,SO
2017-03-08,0.035538,8.7,25.0,20.626667,1.1
2017-03-14,0.034352999999999995,5.9,17.0,19.066667000000002,0.8
2017-03-20,0.038471,7.1,20.0,13.783332999999999,0.05
2017-03-26,0.039235,17.4,30.0,8.604545,0.125
2017-04-01,0.038167,7.9,20.0,11.141667,0.0
2017-04-07,0.055764999999999995,9.3,26.0,20.2625,0.1
2017-04-13,0.035,7.8,20.0,13.295832999999998,0.014286000000000002
2017-04-19,0.035352999999999996,6.8,15.0,13.716667000000001,0.0875
2017-04-25,0.038708,9.3,21.0,10.952632000000001,0.576471
2017-05-01,0.058117999999999996,4.5,19.0,16.15,0.208696
2017-05-07,0.056625,7.6,25.0,13.85,0.24347800000000003
2017-05-13,0.050294,7.725,18.0,14.158332999999999,0.1
2017-05-19,0.029882,10.4,21.0,7.716667,0.408333
2017-05-25,0.04875,7.7,23.0,10.533333,0.508333
2017-05-31,0.031176,13.1,26.0,19.526087,0.404167
2017-06-12,0.031764999999999995,8.1,17.0,11.129167,0.1
2017-06-18,0.022353,7.3,24.0,4.713636,0.1
2017-06-24,0.045588,12.8,18.0,11.945833,0.0
2017-06-30,0.020235,13.958332999999998,34.0,6.6666669999999995,0.2
2017-07-06,0.025764999999999996,8.305,23.0,10.104167,0.2
2017-07-12,0.021176,8.5,23.0,8.795833,0.6
2017-07-18,0.025059,7.1,14.0,12.141667,0.0
2017-07-24,0.022234999999999998,25.4,64.0,12.304167,0.24166700000000002
2017-08-05,0.028765,11.409091,25.0,10.220833,0.2
2017-08-11,0.023824,8.8,17.0,10.284211,0.145833
2017-08-23,0.031647,11.476189999999999,19.0,10.020833,0.1375
2017-08-29,0.047777999999999994,9.62,11.0,4.6458330000000005,0.5
2017-09-04,0.033043,12.440909,21.0,13.566667,0.3
2017-09-10,0.046706,12.6,18.0,16.836364,0.4
2017-09-16,0.029824,10.931818,24.0,11.791667,0.1
2017-09-22,0.027235000000000002,8.7,19.0,14.49,0.1
2017-09-28,0.029235,13.1,21.0,5.670833,0.029167000000000002
2017-10-04,0.030118000000000002,8.4,25.0,18.045833,0.3
2017-10-10,0.027941000000000004,5.0,19.0,2.9954549999999998,0.3
2017-10-16,0.038647,5.1,17.0,9.466667,0.0375
2017-10-22,0.031588,4.7,11.0,6.27,0.3
2017-10-28,0.033609,8.041667,18.0,8.366667,0.240909
2017-11-03,0.025294,16.5,29.0,16.316667000000002,0.504167
2017-11-09,0.010353,10.208333,15.0,6.695833,0.1
2017-11-15,0.024958,10.541667,23.0,20.141667,0.5
2017-11-21,0.033706,11.066667,29.0,19.045833,0.209091
2017-11-27,0.042941,14.2,32.0,25.879167000000002,0.6
2017-12-03,0.024541999999999998,18.416667,14.0,13.318182,0.8
2017-12-09,0.033294,11.291667,25.0,9.916667,0.528571
2017-12-15,0.027000000000000003,8.666667,31.0,17.033333,0.6
2017-12-21,0.028792,12.75,27.0,18.670833,0.333333
2017-12-27,0.016833,10.0,13.0,6.504167,-0.06666699999999999
2018-01-02,0.026000000000000002,8.0,11.0,8.170833,0.42
2018-01-08,0.03165,6.2,25.0,10.341667,0.2
2018-01-14,0.032471,17.041667,28.0,24.475,0.325
2018-01-20,0.026588,11.333333,15.0,16.2625,0.4
2018-01-26,0.028957999999999998,10.625,29.0,20.658333,0.045833
2018-02-01,0.037824,7.125,21.0,8.708333,0.304167
2018-02-07,0.021294,15.166667000000002,21.0,7.129167,-0.157143
2018-02-13,0.006292,19.041667,16.0,13.175,0.0
2018-02-19,0.024471,12.166667,21.0,7.5625,0.2
2018-02-25,0.0245,6.1666669999999995,15.0,12.709091,0.1
2018-03-03,0.038765,17.583333,23.0,19.883333,0.0
2018-03-09,0.042881999999999997,9.666667,25.0,17.466667,0.8
2018-03-15,0.045708,15.125,25.0,23.88125,0.4
2018-03-21,0.046353,8.958333,26.0,23.591667,0.12173900000000001
2018-03-27,0.033471,12.75,27.0,11.454167,0.120833
2018-04-02,0.024706,14.5,25.0,10.95,-0.085714
2018-04-08,0.027529,14.0,16.0,11.655,0.6
2018-04-14,0.046706,9.125,41.0,3.2,-0.16
2018-04-20,0.047,13.125,25.0,21.466667,0.145833
2018-05-02,0.027294,15.7,20.0,8.804167,0.20416700000000002
2018-05-08,0.051235,8.8,24.0,16.7375,0.9272729999999999
2018-05-14,0.031529,10.5,20.0,11.108333,0.0
2018-05-20,0.022882,5.1,13.0,8.422727,0.1
2018-05-26,0.04,6.7,17.0,11.0,0.3
2018-06-01,0.033706,16.833333,29.0,10.870833,0.10416700000000001
2018-06-07,0.029588,8.2,25.0,10.958333,0.230435
2018-06-13,0.027412,10.083333,31.0,11.447367999999999,0.44285699999999995
2018-06-19,0.014041999999999999,6.3,9.0,9.7375,0.725
2018-06-25,0.0255,8.9,22.0,8.908333,0.0
2018-07-01,0.023,36.6,97.0,6.025,0.4375
2018-07-07,0.028824000000000002,7.7916669999999995,15.0,10.245833,0.422727
2018-07-13,0.023941,13.8,32.0,9.120833,0.229167
2018-07-19,0.032706,16.7,47.0,12.608333,0.2
2018-07-25,0.060824,18.2,37.0,23.4875,0.573333
2018-07-31,0.057529,11.8,35.0,15.436364000000001,0.084615
2018-08-06,0.029706,6.1,19.0,11.8125,0.029167000000000002
2018-08-12,0.016412,20.670833,40.0,9.768182000000001,0.2
2018-08-24,0.032353,9.4,20.0,11.825,-0.033333
2018-08-30,0.035176,7.5,19.0,14.433333,-0.25
2018-09-05,0.024412,6.0,14.0,13.0,0.1
2018-09-11,0.021059,5.2083330000000005,12.0,10.925,0.033333
2018-09-17,0.023118,5.4,22.0,13.691667,0.0125
2018-09-23,0.015083000000000001,2.7,8.0,2.475,0.016666999999999998
2018-09-29,0.019478,5.0833330000000005,14.0,11.833333,0.0
2018-10-05,0.025353,8.538461999999999,14.0,11.241667,0.0
2018-10-11,0.025764999999999996,4.9,15.0,15.5375,0.0
2018-10-17,0.020412,2.9,6.0,4.266667,-0.1875
2018-10-23,0.027412,5.9,11.0,19.220833,0.2
2018-10-29,0.034352999999999995,8.0,27.0,17.533333,-0.0625
2018-11-04,0.023208000000000003,4.3333330000000005,12.0,10.877272999999999,0.029167000000000002
2018-11-10,0.027565,4.4166669999999995,8.0,13.816667,0.2
2018-11-16,0.034647000000000004,11.625,28.0,30.391303999999998,0.3
2018-11-22,0.030294,10.375,17.0,14.466667000000001,0.025
2018-11-28,0.039563,5.625,27.0,24.329167,0.14285699999999998
2018-12-04,0.019,4.0416669999999995,12.0,14.395832999999998,-0.1
2018-12-10,0.026352999999999998,6.875,17.0,14.258332999999999,-0.15
2018-12-16,0.019833,9.7,27.0,25.145,-0.05
2018-12-22,0.034087,10.166667,25.0,25.625,0.2
2018-12-28,0.021176,4.3333330000000005,7.0,6.375,-0.075
2019-01-03,0.014913,7.125,9.0,7.929167,-0.085714
2019-01-09,0.029917000000000003,3.058824,13.0,12.641667,-0.16
2019-01-15,0.014087,14.375,20.0,17.958333,-0.15
2019-01-21,0.037058999999999995,6.4583330000000005,13.0,17.375,0.15
2019-02-02,0.02187,11.833333,11.0,14.291667000000002,0.0
2019-02-08,0.025588,7.4166669999999995,11.0,6.2291669999999995,-0.25
2019-02-14,0.039208,7.25,20.0,16.0875,0.025
2019-02-20,0.029706,4.625,11.0,12.475,-0.1
2019-02-26,0.020875,10.791667,14.0,16.55,0.0
2019-03-04,0.035375,7.565217,10.0,3.275,-0.175
2019-03-10,0.027353,14.75,21.0,11.06,0.0125
2019-03-16,0.043941,4.4166669999999995,10.0,15.5625,0.1
2019-03-22,0.058705999999999994,12.125,33.0,24.166667,0.125
2019-03-28,0.048,8.75,24.0,15.166667000000002,0.0
2019-04-03,0.038125,7.2,16.0,19.045455,0.0125
2019-04-09,0.050470999999999995,9.833333,24.0,23.204762,0.0
2019-04-15,0.050765,7.0416669999999995,18.0,18.220833,0.041667
2019-04-21,0.046118,5.8333330000000005,14.0,7.359091,-0.1
2019-04-27,0.051176,9.791667,21.0,15.929167000000001,0.0
2019-05-03,0.034881999999999996,5.75,8.0,13.6,0.0125
2019-05-09,0.026059,15.75,23.0,6.883333,0.0125
2019-05-15,0.044824,10.791667,22.0,18.316667000000002,0.020833
2019-05-21,0.04,12.666667,28.0,10.625,0.008333
2019-06-08,0.045647,9.125,23.0,11.166667,-0.042857
2019-06-14,0.049706,10.375,22.0,16.004167000000002,0.025
2019-06-20,0.022706,17.958333,38.0,7.154167,0.1
2019-06-26,0.019176,14.583332999999998,35.0,13.447367999999999,0.05714299999999999
2019-07-02,0.025294,6.8333330000000005,16.0,8.729167,0.0375
2019-07-08,0.021176,7.3333330000000005,19.0,10.983333,0.1
2019-07-14,0.033875,6.5416669999999995,14.0,5.613636,-0.1875
2019-07-20,0.024588,14.458332999999998,35.0,6.1375,-0.1
2019-07-26,0.053706,12.458333,29.0,22.554167,-0.07142899999999999
2019-08-01,0.036294,12.608696,31.0,13.629167,-0.0625
2019-08-07,0.024529,13.666667000000002,30.0,8.0,0.025
2019-08-13,0.028058999999999997,8.166667,20.0,9.829167,0.0
2019-08-19,0.023528999999999998,10.125,28.0,7.7,-0.0375
2019-08-25,0.032293999999999996,13.333332999999998,20.0,9.27,-0.075
2019-08-31,0.037941,7.75,17.0,10.016667,-0.171429
2019-09-06,0.047941000000000004,10.25,24.0,14.591667000000001,0.0
2019-09-12,0.028765,7.0833330000000005,21.0,12.45,-0.0625
2019-09-18,0.035765,4.5125,13.0,9.091667,-0.028571
2019-09-24,0.029470999999999997,5.9166669999999995,18.0,8.958824,-0.05
2019-09-30,0.021,7.7083330000000005,17.0,6.35,0.025
