date_local,Ozone(ppm)
2016-09-24,0.017824
2016-09-25,0.019647
2016-09-26,0.023235
2016-09-27,0.029647
2016-09-28,0.033118
2016-09-29,0.041588
2016-09-30,0.031706
2016-10-01,0.039412
2016-10-02,0.047529
2016-10-03,0.065333
2016-10-04,0.034375
2016-10-05,0.029727
2016-10-06,0.027294
2016-10-07,0.0275
2016-10-08,0.038294
2016-10-09,0.043059
2016-10-10,0.044176
2016-10-11,0.046706
2016-10-12,0.036824
2016-10-13,0.032588
2016-10-14,0.031529
2016-10-15,0.027235
2016-10-16,0.027647
2016-10-17,0.025588
2016-10-18,0.021
2016-10-19,0.021471
2016-10-20,0.040353
2016-10-21,0.035125
2016-10-22,0.041941
2016-10-23,0.040235
2016-10-24,0.035882
2016-10-25,0.033333
2016-10-26,0.031941
2016-10-27,0.041471
2016-10-28,0.032583
2016-10-29,0.033176
2016-10-30,0.029176
2016-10-31,0.032235
2016-11-01,0.024417
2016-11-02,0.022706
2016-11-03,0.020083
2016-11-04,0.016118
2016-11-05,0.021647
2016-11-06,0.023941
2016-11-07,0.022235
2016-11-08,0.022417
2016-11-09,0.02
2016-11-10,0.025176
2016-11-11,0.017
2016-11-12,0.034235
2016-11-13,0.031667
2016-11-14,0.023824
2016-11-15,0.030529
2016-11-16,0.038941
2016-11-17,0.037118
2016-11-18,0.029583
2016-11-19,0.032045
2016-11-20,0.033824
2016-11-21,0.037
2016-11-22,0.025208
2016-11-23,0.019875
2016-11-24,0.027
2016-11-25,0.020176
2016-11-26,0.030118
2016-11-27,0.033059
2016-11-28,0.037588
2016-11-29,0.036118
2016-11-30,0.030833
2016-12-01,0.033294
2016-12-02,0.027167
2016-12-03,0.028739
2016-12-04,0.020875
2016-12-05,0.017083
2016-12-06,0.014333
2016-12-07,0.015824
2016-12-08,0.022059
2016-12-09,0.020042
2016-12-10,0.019294
2016-12-11,0.02225
2016-12-12,0.014353
2016-12-13,0.022059
2016-12-14,0.011957
2016-12-15,0.015412
2016-12-16,0.016792
2016-12-17,0.017063
2016-12-18,0.031471
2016-12-19,0.027864
2016-12-20,0.021824
2016-12-21,0.038
2016-12-22,0.033529
2016-12-23,0.017792
2016-12-24,0.022824
2016-12-25,0.024125
2016-12-26,0.018042
2016-12-27,0.016708
2016-12-28,0.021235
2016-12-29,0.034353
2016-12-30,0.028375
2016-12-31,0.028222
