date_local,Ozone(ppm)
2019-01-01,0.013417
2019-01-02,0.00975
2019-01-03,0.014913
2019-01-04,0.027235
2019-01-05,0.035059
2019-01-06,0.032588
2019-01-07,0.023417
2019-01-08,0.03
2019-01-09,0.029917
2019-01-10,0.026176
2019-01-11,0.023458
2019-01-12,0.023235
2019-01-13,0.024647
2019-01-14,0.01725
2019-01-15,0.014087
2019-01-16,0.011235
2019-01-17,0.018706
2019-01-18,0.015471
2019-01-19,0.026235
2019-01-20,0.028
2019-01-21,0.037059
2019-01-22,0.028042
2019-01-23,0.029958
2019-01-24,0.029176
2019-01-25,0.028882
2019-01-26,0.031471
2019-01-27,0.029824
2019-01-28,0.037294
2019-01-29,0.032417
2019-01-30,0.031176
2019-01-31,0.021125
2019-02-01,0.023471
2019-02-02,0.02187
2019-02-03,0.023625
2019-02-04,0.020471
2019-02-05,0.021059
2019-02-06,0.020176
2019-02-07,0.024118
2019-02-08,0.025588
2019-02-09,0.0255
2019-02-10,0.012417
2019-02-11,0.013941
2019-02-12,0.029125
2019-02-13,0.036118
2019-02-14,0.039208
2019-02-15,0.035529
2019-02-16,0.021
2019-02-17,0.031824
2019-02-18,0.03025
2019-02-19,0.021708
2019-02-20,0.029706
2019-02-21,0.024417
2019-02-22,0.011333
2019-02-23,0.042529
2019-02-24,0.040118
2019-02-25,0.034706
2019-02-26,0.020875
2019-02-27,0.024588
2019-02-28,0.015235
2019-03-01,0.008174
2019-03-02,0.007261
2019-03-03,0.026941
2019-03-04,0.035375
2019-03-05,0.035292
2019-03-06,0.043235
2019-03-07,0.033875
2019-03-08,0.025
2019-03-09,0.039176
2019-03-10,0.027353
2019-03-11,0.021042
2019-03-12,0.020429
2019-03-13,0.036882
2019-03-14,0.043588
2019-03-15,0.039875
2019-03-16,0.043941
2019-03-17,0.043941
2019-03-18,0.042176
2019-03-19,0.048706
2019-03-20,0.045333
2019-03-21,0.050882
2019-03-22,0.058706
2019-03-23,0.04613
2019-03-24,0.03625
2019-03-25,0.048529
2019-03-26,0.042647
2019-03-27,0.050647
2019-03-28,0.048
2019-03-29,0.042292
2019-03-30,0.034059
2019-03-31,0.039941
2019-04-01,0.036765
2019-04-02,0.047176
2019-04-03,0.038125
2019-04-04,0.039235
2019-04-05,0.032588
2019-04-06,0.018727
2019-04-07,0.042471
2019-04-08,0.042294
2019-04-09,0.050471
2019-04-10,0.051353
2019-04-11,0.041333
2019-04-12,0.038294
2019-04-13,0.0388
2019-04-14,0.040524
2019-04-15,0.050765
2019-04-16,0.042375
2019-04-17,0.031824
