date_local,NO2
2017-01-01,11.278947
2017-01-02,9.245833
2017-01-03,7.604167
2017-01-04,10.045833
2017-01-05,11.191667
2017-01-06,3.875
2017-01-07,12.579167
2017-01-08,21.678947
2017-01-09,18.629167
2017-01-10,16.8875
2017-01-11,11.325
2017-01-12,12.616667
2017-01-13,14.495833
2017-01-14,7.2
2017-01-15,8.575
2017-01-16,11.495833
2017-01-17,10.935294
2017-01-18,8.479167
2017-01-19,15.025
2017-01-20,23.179167
2017-01-21,9.908333
2017-01-22,2.505263
2017-01-23,22.218182
2017-01-24,17.455
2017-01-25,4.2625
2017-01-26,18.841667
2017-01-27,19.145833
2017-01-28,4.808333
2017-01-29,9.118182
2017-01-30,11.945833
2017-01-31,25.5875
2017-02-01,22.991667
2017-02-02,5.708333
2017-02-03,13.083333
2017-02-04,16.879167
2017-02-05,11.336364
2017-02-06,10.216667
2017-02-07,11.85
2017-02-08,8.6125
2017-02-09,15.375
2017-02-10,20.845833
2017-02-11,9.066667
2017-02-12,4.76
2017-02-13,8.541667
2017-02-14,2.533333
2017-02-15,5.25
2017-02-16,22.679167
2017-02-17,21.083333
2017-02-18,15.029167
2017-02-19,5.722727
2017-02-20,16.743478
2017-02-21,10.541667
2017-02-22,28.558333
2017-02-23,24.5375
2017-02-24,8.204167
2017-02-25,14.145833
2017-02-26,18.313636
2017-02-27,13.129167
2017-02-28,13.370833
2017-03-01,6.1
2017-03-02,20.083333
2017-03-03,23.2
2017-03-04,18.4
2017-03-05,13.7625
2017-03-06,7.875
2017-03-07,15.611111
2017-03-08,20.626667
2017-03-09,10.936364
2017-03-10,14.845833
2017-03-11,12.708333
2017-03-12,6.8
2017-03-13,13.854167
2017-03-14,19.066667
2017-03-15,19.8375
2017-03-16,13.866667
2017-03-17,11.225
2017-03-18,14.304167
2017-03-19,10.786364
2017-03-20,13.783333
2017-03-21,12.141667
2017-03-22,13.720833
2017-03-23,9.8375
2017-03-24,15.35
2017-03-25,13.941667
2017-03-26,8.604545
2017-03-27,12.708333
2017-03-28,10.191667
2017-03-29,10.870833
2017-03-30,9.9875
2017-03-31,17.925
2017-04-01,11.141667
2017-04-02,4.513636
2017-04-03,14.529167
2017-04-04,21.508696
2017-04-05,5.4625
2017-04-06,22.845833
2017-04-07,20.2625
2017-04-08,13.225
2017-04-09,7.925
2017-04-10,11.4375
2017-04-11,14.945833
2017-04-12,17.1875
2017-04-13,13.295833
2017-04-14,14.083333
2017-04-15,8.020833
2017-04-16,6.75
2017-04-17,12.1
2017-04-18,11.204167
2017-04-19,13.716667
2017-04-20,12.616667
2017-04-21,9.677273
2017-04-22,3.275
2017-04-23,8.954545
