date_local,PM10
2018-01-02,11.0
2018-01-08,25.0
2018-01-14,28.0
2018-01-20,15.0
2018-01-26,29.0
2018-02-01,21.0
2018-02-07,21.0
2018-02-13,16.0
2018-02-19,21.0
2018-02-25,15.0
2018-03-03,23.0
2018-03-09,25.0
2018-03-15,25.0
2018-03-21,26.0
2018-03-27,27.0
2018-04-02,25.0
2018-04-08,16.0
2018-04-14,41.0
2018-04-20,25.0
2018-05-02,20.0
2018-05-08,24.0
2018-05-14,20.0
2018-05-20,13.0
2018-05-26,17.0
2018-06-01,29.0
2018-06-07,25.0
2018-06-13,31.0
2018-06-19,9.0
2018-06-25,22.0
2018-07-01,97.0
2018-07-07,15.0
2018-07-13,32.0
2018-07-19,47.0
2018-07-25,37.0
2018-07-31,35.0
2018-08-06,19.0
2018-08-12,40.0
2018-08-18,27.0
2018-08-24,20.0
2018-08-30,19.0
2018-09-05,14.0
2018-09-11,12.0
2018-09-17,22.0
2018-09-23,8.0
2018-09-29,14.0
2018-10-05,14.0
2018-10-11,15.0
2018-10-17,6.0
2018-10-23,11.0
2018-10-29,27.0
2018-11-04,12.0
2018-11-10,8.0
2018-11-16,28.0
2018-11-22,17.0
2018-11-28,27.0
2018-12-04,12.0
2018-12-10,17.0
2018-12-16,27.0
2018-12-22,25.0
2018-12-28,7.0
