date_local,PM2.5
2016-01-01,7.7
2016-01-07,8.4
2016-01-13,12.7
2016-01-19,8.2
2016-01-25,9.1
2016-01-31,10.5
2016-02-06,5.4
2016-02-12,10.5
2016-02-18,7.9
2016-02-24,6.7
2016-03-01,6.9
2016-03-07,7.7
2016-03-13,8.5
2016-03-19,5.7
2016-03-25,6.7
2016-03-31,13.4
2016-04-07,6.7
2016-04-13,7.8
2016-04-19,5.5
2016-04-24,7.5
2016-05-03,4.5
2016-05-06,9.9
2016-05-12,9.3
2016-05-19,3.2
2016-05-25,16.0
2016-06-01,5.7
2016-06-05,5.0
2016-06-11,11.5
2016-06-17,11.2
2016-06-23,5.7
2016-06-29,9.1
2016-07-05,10.7
2016-07-11,28.4
2016-07-17,4.7
2016-07-23,5.5
2016-08-02,12.7
2016-08-04,6.5
2016-08-28,6.5
2016-09-03,16.5
2016-09-15,9.6
2016-09-21,12.2
2016-09-27,7.2
2016-10-03,17.4
2016-10-09,9.2
2016-10-16,5.0
2016-10-21,10.2
2016-10-27,8.5
2016-11-04,12.0
2016-11-08,6.5
2016-11-14,11.2
2016-11-20,9.8
2016-11-26,10.5
2016-12-02,7.5
2016-12-08,5.0
2016-12-14,15.4
2016-12-20,9.4
