date_local,PM10
2015-01-06,28.0
2015-01-12,10.0
2015-01-18,22.0
2015-01-24,16.0
2015-01-30,15.0
2015-02-05,14.0
2015-02-11,23.0
2015-02-17,13.0
2015-02-23,6.0
2015-03-01,9.0
2015-03-07,23.0
2015-03-13,19.0
2015-03-19,11.0
2015-03-25,19.0
2015-03-31,24.0
2015-04-06,23.0
2015-04-12,21.0
2015-04-18,13.0
2015-04-24,30.0
2015-04-30,24.0
2015-05-06,23.0
2015-05-12,11.0
2015-05-18,36.0
2015-05-24,14.0
2015-05-30,14.0
2015-06-05,20.0
2015-06-11,17.0
2015-06-17,11.0
2015-06-23,23.0
2015-06-29,71.0
2015-07-05,53.0
2015-07-11,50.0
2015-07-17,25.0
2015-07-23,35.0
2015-07-29,41.0
2015-08-04,47.0
2015-08-10,27.0
2015-08-16,24.0
2015-08-22,21.0
2015-08-28,40.0
2015-09-03,19.0
2015-09-09,20.0
2015-09-15,21.0
2015-09-27,30.0
2015-10-03,22.0
2015-10-09,33.0
2015-10-21,29.0
2015-10-27,18.0
2015-11-02,21.0
2015-11-08,11.0
2015-11-14,16.0
2015-11-20,29.0
2015-11-26,12.0
2015-12-02,18.0
2015-12-08,40.0
2015-12-14,21.0
2015-12-20,16.0
2015-12-26,18.0
