date_local,Ozone(ppm)
2018-01-01,0.028647
2018-01-02,0.026
2018-01-03,0.028353
2018-01-04,0.0235
2018-01-05,0.031529
2018-01-06,0.032588
2018-01-07,0.031375
2018-01-08,0.03165
2018-01-09,0.028294
2018-01-10,0.032417
2018-01-11,0.028059
2018-01-12,0.03075
2018-01-13,0.024826
2018-01-14,0.032471
2018-01-15,0.031118
2018-01-16,0.032417
2018-01-17,0.02325
2018-01-18,0.023
2018-01-19,0.020125
2018-01-20,0.026588
2018-01-21,0.024353
2018-01-22,0.035529
2018-01-23,0.030375
2018-01-24,0.030412
2018-01-25,0.041118
2018-01-26,0.028958
2018-01-27,0.024647
2018-01-28,0.037176
2018-01-29,0.033958
2018-01-30,0.033
2018-01-31,0.038235
2018-02-01,0.037824
2018-02-02,0.03175
2018-02-03,0.021957
2018-02-04,0.025294
2018-02-05,0.01575
2018-02-06,0.008235
2018-02-07,0.021294
2018-02-08,0.024765
2018-02-09,0.015875
2018-02-10,0.016412
2018-02-11,0.028
2018-02-12,0.022458
2018-02-13,0.006292
2018-02-14,0.009059
2018-02-15,0.017059
2018-02-16,0.030118
2018-02-17,0.020826
2018-02-18,0.019882
2018-02-19,0.024471
2018-02-20,0.019917
2018-02-21,0.017765
2018-02-22,0.014353
2018-02-23,0.007208
2018-02-24,0.017
2018-02-25,0.0245
2018-02-26,0.028471
2018-02-27,0.019917
2018-02-28,0.025882
2018-03-01,0.028208
2018-03-02,0.036
2018-03-03,0.038765
2018-03-04,0.026125
2018-03-05,0.038412
2018-03-06,0.044176
2018-03-07,0.042
2018-03-08,0.046588
2018-03-09,0.042882
2018-03-10,0.041647
2018-03-11,0.043647
2018-03-12,0.040833
2018-03-13,0.051118
2018-03-14,0.052588
2018-03-15,0.045708
2018-03-16,0.037118
2018-03-17,0.029706
2018-03-18,0.029471
2018-03-19,0.043412
2018-03-20,0.0355
2018-03-21,0.046353
2018-03-22,0.049824
2018-03-23,0.042476
2018-03-24,0.035739
2018-03-25,0.032824
2018-03-26,0.037042
2018-03-27,0.033471
2018-03-28,0.029542
