date_local,PM2.5,avgtempC,avgtempF,winddirDegree,windspeedKmph,windspeedMiles,cloudcover,humidity,precipInches,precipMM,pressure,visibility,maxtempC,maxtempF,mintempC,mintempF,sunHour,uvIndex,NO2,SO,PM10
2015-01-06,8.5,9,49,208,10,6,6,56,0.0,0.0,1028,10,17,63,4,39,8.7,1,28.395833000000003,0.43333299999999997,28.0
2015-01-12,7.2,6,42,110,14,9,34,79,0.0,0.0,1025,10,8,47,4,39,8.7,1,7.883333,0.120833,10.0
2015-01-18,6.0,13,55,230,12,8,13,46,0.0,0.0,1025,10,19,67,8,46,8.7,1,23.45,0.2,22.0
2015-01-24,7.6,8,46,266,12,8,31,60,0.0,0.0,1022,10,15,59,3,37,10.8,1,11.670833,0.05714299999999999,16.0
2015-01-30,6.1,11,52,48,19,12,54,55,0.0,0.0,1028,10,13,56,9,47,8.5,1,15.982353,0.6,15.0
2015-02-05,9.7,5,41,274,17,11,39,67,0.0,0.0,1028,10,8,47,3,37,8.5,1,6.075,0.116667,14.0
2015-02-11,11.3,16,60,145,11,7,2,62,0.0,0.0,1016,10,23,73,9,48,11.0,1,25.741667,0.2,23.0
2015-02-17,6.8,5,40,160,16,10,39,51,0.0,0.1,1023,10,11,52,1,34,10.1,1,12.1625,0.0041670000000000006,13.0
2015-03-01,8.5,3,38,57,18,11,100,87,0.0,0.3,1025,9,5,42,1,34,5.9,1,6.640909,0.4,9.0
2015-03-07,10.0,8,47,125,7,5,32,51,0.0,0.0,1029,10,14,57,3,37,11.6,1,32.2125,0.343478,23.0
2015-03-13,6.4,14,58,145,13,8,59,73,0.0,0.7,1018,9,19,67,10,50,8.8,1,10.466667,0.333333,19.0
2015-03-19,10.2,21,69,177,13,8,72,85,0.1,3.0,1014,8,26,78,18,64,8.8,1,16.2875,0.44761899999999993,11.0
2015-03-25,5.0,20,68,179,20,12,33,82,0.0,0.0,1013,9,26,80,15,60,10.2,1,15.608332999999998,0.541667,19.0
2015-03-31,8.7,20,69,193,20,12,83,85,0.0,0.1,1016,10,23,73,18,64,7.5,1,14.0,0.2,24.0
2015-04-06,11.1,22,72,175,21,13,63,83,0.0,0.1,1013,9,27,81,18,64,10.2,1,11.7,0.6,23.0
2015-04-12,12.5,21,70,155,12,7,82,86,0.1,2.0,1012,6,26,79,18,64,6.3,1,11.38,0.0,21.0
2015-04-18,5.6,20,69,101,6,4,74,86,0.0,0.3,1011,6,24,75,18,65,7.8,1,13.441667,0.1,13.0
2015-04-24,17.2,24,75,162,16,10,64,84,0.1,2.3,1009,9,28,82,21,69,9.6,1,13.604167000000002,0.1,30.0
2015-04-30,9.4,18,65,193,8,5,3,51,0.0,0.0,1015,10,26,78,11,53,13.6,1,24.765217,0.4,24.0
2015-05-06,8.8,24,74,164,18,11,68,83,0.3,8.5,1013,8,28,82,20,67,9.7,1,13.254167,0.404167,23.0
2015-05-12,6.1,19,66,48,16,10,93,94,0.0,0.4,1020,10,20,68,18,65,8.6,1,13.55,-0.116667,11.0
2015-05-30,5.5,25,77,246,9,6,34,80,0.2,5.4,1016,9,29,84,22,71,14.0,1,9.925,0.147826,14.0
2015-06-05,8.6,26,78,168,9,6,29,74,0.0,0.1,1016,8,31,87,22,71,13.4,1,19.345833,0.43333299999999997,20.0
2015-06-11,5.6,27,81,180,17,11,24,68,0.0,0.0,1009,9,32,90,22,72,14.0,1,11.179167,0.070588,17.0
2015-07-05,18.3,27,81,178,20,12,49,76,0.0,1.2,1016,9,32,90,23,73,12.2,1,5.605,0.1,53.0
2015-07-11,17.7,27,81,184,11,7,9,66,0.0,0.0,1019,9,33,92,22,71,14.0,1,9.641667,0.3,50.0
2015-07-17,7.9,29,84,184,17,10,25,66,0.0,0.0,1013,9,36,96,24,75,13.3,1,9.879167,0.2,25.0
2015-07-23,13.8,30,85,185,19,12,10,60,0.0,0.0,1014,10,37,99,23,74,13.9,1,9.916667,0.508333,35.0
2015-07-29,15.8,30,86,171,10,7,17,57,0.0,0.0,1015,9,37,99,23,73,13.3,1,12.094118,0.2,41.0
2015-08-04,16.4,30,86,188,13,8,27,58,0.0,0.1,1013,10,35,95,25,76,13.3,1,11.775,0.225,47.0
2015-08-10,9.7,31,88,159,11,7,6,51,0.0,0.0,1013,9,39,102,23,74,13.6,1,15.525,0.3,27.0
2015-08-16,13.8,29,85,140,10,6,11,54,0.1,2.2,1014,10,36,96,23,74,13.5,1,16.172727,0.5,24.0
2015-08-22,8.3,30,85,177,17,11,14,61,0.0,0.0,1013,10,37,98,23,74,11.6,1,9.454167,0.31304299999999996,21.0
2015-08-28,14.6,29,84,191,12,7,15,40,0.0,0.0,1015,10,35,96,23,73,11.6,1,19.965217000000003,1.008333,40.0
2015-09-03,3.7,27,81,94,8,5,45,67,0.1,1.3,1012,10,33,91,23,73,8.9,1,18.829167,0.1,19.0
2015-09-09,7.1,28,83,220,9,6,31,67,0.3,7.0,1012,10,33,91,24,75,10.2,1,11.879167,0.44736800000000004,20.0
2015-09-15,6.5,26,78,132,11,7,62,76,0.1,2.9,1016,9,32,90,21,71,7.5,1,17.283333,0.1,21.0
2015-09-27,15.4,26,79,146,10,6,15,46,0.0,0.1,1012,10,32,90,21,70,11.6,1,17.705,0.245833,30.0
2015-10-21,7.8,24,75,119,19,12,71,79,0.1,1.3,1017,9,29,84,21,69,5.7,1,15.179167000000001,0.4,29.0
2015-10-27,5.9,20,68,275,11,7,3,63,0.0,0.0,1011,10,26,79,14,58,8.7,1,15.191667,0.1,18.0
2015-11-08,4.5,14,57,21,18,11,29,73,0.0,0.0,1023,10,18,64,11,52,8.7,1,6.2,0.6,11.0
2015-11-14,7.6,14,57,125,9,6,47,63,0.0,0.7,1025,10,16,62,13,55,8.7,1,16.1875,0.4,16.0
2015-11-26,3.9,20,69,148,19,12,99,94,0.1,2.9,1019,9,23,73,18,64,3.8,1,9.1375,0.0125,12.0
2015-12-02,6.0,11,52,178,12,7,4,65,0.0,0.0,1021,10,17,62,6,42,8.7,1,12.408333,0.4,18.0
