date_local,NO2
2019-01-01,4.608333
2019-01-02,6.741667
2019-01-03,7.929167
2019-01-04,14.029167
2019-01-05,24.1625
2019-01-06,16.609091
2019-01-07,16.466667
2019-01-08,10.426087
2019-01-09,12.641667
2019-01-10,25.708333
2019-01-11,21.658333
2019-01-12,4.3625
2019-01-13,6.37
2019-01-14,10.354167
2019-01-15,17.958333
2019-01-16,18.825
2019-01-17,12.583333
2019-01-18,13.554167
2019-01-19,2.4625
2019-01-20,13.677273
2019-01-21,17.375
2019-01-22,11.838889
2019-01-23,7.666667
2019-01-24,26.641176
2019-01-25,24.129167
2019-01-26,19.825
2019-01-27,10.418182
2019-01-28,14.920833
2019-01-29,12.370833
2019-01-30,21.045833
2019-01-31,19.3375
2019-02-01,17.7625
2019-02-02,14.291667
2019-02-03,9.295455
2019-02-04,11.454167
2019-02-05,11.43
2019-02-06,9.625
2019-02-07,3.895833
2019-02-08,6.229167
2019-02-09,10.441667
2019-02-10,9.775
2019-02-11,12.629167
2019-02-12,11.308333
2019-02-13,20.2875
2019-02-14,16.0875
2019-02-15,25.954167
2019-02-16,9.775
2019-02-17,5.1
2019-02-18,8.770833
2019-02-19,10.120833
2019-02-20,12.475
2019-02-21,19.475
2019-02-22,10.691667
2019-02-23,7.929167
2019-02-24,13.577273
2019-02-25,20.325
2019-02-26,16.55
2019-02-27,15.566667
2019-02-28,7.154167
2019-03-01,14.770833
2019-03-02,9.404167
2019-03-03,4.354545
2019-03-04,3.275
2019-03-05,9.683333
2019-03-06,25.391304
2019-03-07,16.743478
2019-03-08,12.3625
2019-03-09,11.279167
2019-03-10,11.06
2019-03-11,8.095833
2019-03-12,8.566667
2019-03-13,13.125
2019-03-14,2.991667
2019-03-15,5.045833
2019-03-16,15.5625
2019-03-17,17.718182
2019-03-18,25.525
2019-03-19,23.579167
2019-03-20,23.641667
2019-03-21,23.413043
2019-03-22,24.166667
2019-03-23,15.3
2019-03-24,10.272727
2019-03-25,11.386957
2019-03-26,17.75
2019-03-27,19.5125
2019-03-28,15.166667
2019-03-29,13.104167
2019-03-30,3.166667
2019-03-31,7.759091
2019-04-01,21.6875
2019-04-02,23.5125
2019-04-03,19.045455
2019-04-04,12.683333
2019-04-05,15.129167
2019-04-06,12.029167
2019-04-07,5.29
2019-04-08,8.708333
2019-04-09,23.204762
2019-04-10,16.279167
2019-04-11,12.720833
2019-04-12,16.316667
2019-04-13,4.716667
2019-04-14,7.904545
2019-04-15,18.220833
2019-04-16,12.308333
2019-04-17,9.2875
2019-04-18,5.858333
2019-04-19,4.745833
2019-04-20,14.670833
2019-04-21,7.359091
2019-04-22,12.572727
2019-04-23,14.031818
2019-04-24,12.0125
2019-04-25,8.116667
2019-04-26,14.795833
2019-04-27,15.929167
2019-04-28,8.245455
2019-04-29,9.804167
2019-04-30,7.316667
2019-05-01,8.070833
2019-05-02,14.383333
2019-05-03,13.6
2019-05-04,9.633333
2019-05-05,14.59
2019-05-06,17.213043
2019-05-07,14.575
2019-05-08,16.5125
2019-05-09,6.883333
2019-05-10,5.395833
2019-05-11,3.375
2019-05-12,8.218182
2019-05-13,17.929167
2019-05-14,21.979167
2019-05-15,18.316667
2019-05-16,16.395833
2019-05-17,9.391667
2019-05-18,6.3125
2019-05-19,8.145455
2019-05-20,5.795833
2019-05-21,10.625
2019-05-22,8.991667
2019-05-23,5.654167
2019-05-24,7.029167
2019-05-25,6.0625
2019-05-26,5.945455
2019-05-27,6.154167
2019-05-28,8.345833
2019-05-29,8.758333
2019-05-30,9.1625
2019-05-31,12.4875
2019-06-01,9.3375
2019-06-02,7.195
2019-06-03,8.25
2019-06-04,10.6
2019-06-05,10.166667
2019-06-06,11.4125
2019-06-07,4.75
2019-06-08,11.166667
2019-06-09,10.627273
2019-06-10,2.779167
2019-06-11,7.991667
2019-06-12,13.608333
2019-06-13,15.036364
2019-06-14,16.004167
2019-06-15,5.645833
2019-06-16,4.622727
2019-06-17,13.15
2019-06-18,16.104167
2019-06-19,9.5375
2019-06-20,7.154167
2019-06-21,5.529167
2019-06-22,6.879167
2019-06-23,4.145455
2019-06-24,13.820833
2019-06-25,13.445833
2019-06-26,13.447368
2019-06-27,12.708333
2019-06-28,11.9625
2019-06-29,9.204167
2019-06-30,7.73
2019-07-01,11.108333
2019-07-02,8.729167
2019-07-03,9.4625
2019-07-04,5.083333
2019-07-05,5.775
2019-07-06,6.408333
2019-07-07,6.527273
2019-07-08,10.983333
2019-07-09,9.9875
2019-07-10,10.575
2019-07-11,10.0625
2019-07-12,11.9125
2019-07-13,2.616667
2019-07-14,5.613636
2019-07-15,14.6625
2019-07-16,7.716667
2019-07-17,7.65
2019-07-18,7.391667
2019-07-19,7.041667
2019-07-20,6.1375
2019-07-21,6.531818
2019-07-22,10.2625
2019-07-23,11.7875
2019-07-24,22.15
2019-07-25,19.516667
2019-07-26,22.554167
2019-07-27,15.808333
2019-07-28,4.135
2019-07-29,7.041667
2019-07-30,10.216667
2019-07-31,12.845833
2019-08-01,13.629167
2019-08-02,13.416667
2019-08-03,11.866667
2019-08-04,10.745455
2019-08-05,12.004167
2019-08-06,10.575
2019-08-07,8.0
2019-08-08,7.175
2019-08-09,6.916667
2019-08-10,5.8625
2019-08-11,5.768182
2019-08-12,8.458333
2019-08-13,9.829167
2019-08-14,10.304167
2019-08-15,17.845833
2019-08-16,13.158333
2019-08-17,6.133333
2019-08-18,5.186364
2019-08-19,7.7
2019-08-20,8.426087
2019-08-21,8.5
2019-08-22,8.754167
2019-08-23,9.511111
2019-08-24,10.058333
2019-08-25,9.27
2019-08-26,8.325
2019-08-27,8.2625
2019-08-28,11.766667
2019-08-29,12.445833
2019-08-30,10.9875
2019-08-31,10.016667
2019-09-01,11.772727
2019-09-02,10.0375
2019-09-03,14.9875
2019-09-04,19.045833
2019-09-05,17.179167
2019-09-06,14.591667
2019-09-07,9.575
2019-09-08,5.85
2019-09-09,9.883333
2019-09-10,13.359091
2019-09-11,13.1125
2019-09-12,12.45
2019-09-13,16.704167
2019-09-14,14.216667
2019-09-15,11.959091
2019-09-16,12.045
2019-09-17,12.054167
2019-09-18,9.091667
2019-09-19,12.1125
2019-09-20,6.229167
2019-09-21,7.158333
2019-09-22,7.365
2019-09-23,9.7125
2019-09-24,8.958824
2019-09-25,13.120833
2019-09-26,13.491667
2019-09-27,11.783333
2019-09-28,6.8625
2019-09-29,4.731818
2019-09-30,6.35
