date_local,SO
2017-01-01,0.4
2017-01-02,0.133333
2017-01-03,0.1
2017-01-04,0.141667
2017-01-05,0.4
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,0.925
2017-01-09,0.6
2017-01-10,0.729167
2017-01-11,0.8
2017-01-12,0.545833
2017-01-13,0.4
2017-01-14,0.422727
2017-01-15,0.2
2017-01-16,0.1
2017-01-17,0.2
2017-01-18,0.2
2017-01-19,0.4
2017-01-20,0.5
2017-01-21,0.5
2017-01-22,0.1
2017-01-23,0.3
2017-01-24,0.7
2017-01-25,0.0
2017-01-26,0.0
2017-01-27,0.316667
2017-01-28,-0.042857
2017-01-29,0.0125
2017-01-30,0.1
2017-01-31,0.825
2017-02-01,0.8
2017-02-02,0.120833
2017-02-03,0.6
2017-02-04,0.413636
2017-02-05,0.2
2017-02-06,0.2
2017-02-07,0.4
2017-02-08,0.3
2017-02-09,0.345833
2017-02-10,0.4
2017-02-11,0.309091
2017-02-12,0.025
2017-02-13,0.2
2017-02-14,0.1
2017-02-15,0.0125
2017-02-16,0.4
2017-02-17,0.8
2017-02-18,0.445455
2017-02-19,0.1
2017-02-21,0.033333
2017-02-22,0.445833
2017-02-23,0.841667
2017-02-24,0.2
2017-02-25,0.004545
2017-02-26,0.2375
2017-02-27,0.120833
2017-02-28,0.216667
2017-03-01,0.1
2017-03-02,0.308333
2017-03-03,0.129167
2017-03-04,0.014286
2017-03-05,0.441667
2017-03-06,0.6
2017-03-07,0.6
2017-03-08,1.1
2017-03-09,0.720833
2017-03-10,0.720833
2017-03-11,0.6
2017-03-12,-0.028571
2017-03-13,0.2
2017-03-14,0.8
2017-03-15,0.3
2017-03-16,0.114286
2017-03-17,0.0
2017-03-18,0.0
2017-03-19,-0.085714
2017-03-20,0.05
2017-03-21,0.0
2017-03-22,0.1625
2017-03-23,0.029167
2017-03-24,0.1
2017-03-25,0.013636
2017-03-26,0.125
2017-03-27,0.0125
2017-03-28,0.1
2017-03-29,0.041667
2017-03-30,0.041667
2017-03-31,0.2
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,0.1
2017-04-04,0.2
2017-04-05,-0.066667
2017-04-06,-0.071429
2017-04-07,0.1
2017-04-08,0.0
2017-04-09,0.1
2017-04-10,0.026087
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.014286
2017-04-14,0.1
2017-04-15,0.1
2017-04-16,0.1
2017-04-17,0.116667
2017-04-18,0.1
2017-04-19,0.0875
2017-04-20,0.2
2017-04-21,0.4
2017-04-22,0.3
2017-04-23,0.133333
2017-04-24,0.616667
2017-04-25,0.576471
2017-04-26,0.4
2017-04-27,0.6
2017-04-28,0.708333
2017-04-29,0.513636
2017-04-30,0.0
2017-05-01,0.208696
2017-05-02,0.1
2017-05-03,0.014286
2017-05-04,-0.0875
2017-05-05,-0.033333
2017-05-06,0.2
2017-05-07,0.243478
2017-05-08,0.016667
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.1
2017-05-12,0.029167
2017-05-13,0.1
2017-05-14,0.416667
2017-05-15,0.304167
2017-05-16,0.3
2017-05-17,0.308333
2017-05-18,0.325
2017-05-19,0.408333
2017-05-20,0.231818
2017-05-21,0.4
2017-05-22,0.2
2017-05-23,0.3
2017-05-24,0.3125
2017-05-25,0.508333
2017-05-26,0.4
2017-05-27,0.340909
2017-05-28,0.4
2017-05-29,0.233333
2017-05-30,0.4
2017-05-31,0.404167
2017-06-01,0.4
2017-06-02,0.5
2017-06-03,0.5
2017-06-04,0.516667
2017-06-05,0.633333
2017-06-06,0.6
2017-06-07,0.629167
2017-06-08,0.625
2017-06-09,0.7
2017-06-10,0.622727
2017-06-11,0.141667
2017-06-12,0.1
2017-06-13,0.2
2017-06-14,0.2
2017-06-15,0.2
2017-06-16,0.2125
2017-06-17,0.236364
2017-06-18,0.1
2017-06-19,0.0
2017-06-20,0.128571
2017-06-21,0.3
2017-06-22,0.2
2017-06-23,0.2
2017-06-24,0.0
2017-06-25,0.1
2017-06-26,0.1
2017-06-27,0.1
2017-06-28,0.1
2017-06-29,0.218182
2017-06-30,0.2
2017-07-01,0.2
2017-07-02,0.2
2017-07-03,0.2
2017-07-04,0.2375
2017-07-05,0.2
2017-07-06,0.2
2017-07-07,0.2
2017-07-08,0.3
2017-07-09,0.5
2017-07-10,0.638095
2017-07-11,0.633333
2017-07-12,0.6
2017-07-13,0.529167
2017-07-14,0.6
2017-07-15,0.531818
2017-07-16,0.025
2017-07-17,0.1
2017-07-18,0.0
2017-07-19,0.0
2017-07-20,0.016667
2017-07-21,0.120833
2017-07-22,0.2
2017-07-23,0.3
2017-07-24,0.241667
2017-07-25,0.2
2017-07-26,0.225
2017-07-27,0.3
2017-07-28,0.5
2017-07-29,0.4
2017-07-30,0.3
2017-07-31,0.3
2017-08-01,0.234783
2017-08-02,0.016667
2017-08-03,0.1
2017-08-04,0.1
2017-08-05,0.2
2017-08-06,0.2
2017-08-07,0.1
2017-08-08,0.025
2017-08-09,0.113043
2017-08-10,0.2
2017-08-11,0.145833
2017-08-12,0.218182
2017-08-13,0.014286
2017-08-14,0.0375
2017-08-15,0.4
2017-08-16,0.1
2017-08-17,0.0375
2017-08-18,0.1
2017-08-19,0.1
2017-08-20,0.2
2017-08-21,0.1
2017-08-22,0.134783
2017-08-23,0.1375
2017-08-24,0.2
2017-08-25,0.3
2017-08-26,0.273333
2017-08-27,0.314286
2017-08-28,0.375
2017-08-29,0.5
2017-08-30,0.6
2017-08-31,0.5
2017-09-01,0.6
2017-09-02,0.318182
2017-09-03,0.4
2017-09-04,0.3
2017-09-05,0.220833
2017-09-06,0.4
2017-09-07,0.6
