date,avgtempC,avgtempF,winddirDegree,windspeedKmph,windspeedMiles,cloudcover,humidity,precipInches,precipMM,pressure,visibility,maxtempC,maxtempF,mintempC,mintempF,sunHour,uvIndex
2017-01-01,15,59,172,8,5,8,75,0.0,0.2,1011,10,21,70,11,52,8.7,1
2017-01-02,17,62,265,12,8,23,73,0.0,1.0,1012,9,21,70,15,59,8.7,1
2017-01-03,15,59,222,14,9,4,50,0.0,0.0,1017,10,21,70,10,50,8.7,1
2017-01-04,5,41,34,15,9,25,58,0.0,0.0,1021,10,9,48,3,38,7.1,1
2017-01-05,8,46,158,17,10,18,75,0.0,0.0,1014,9,14,57,3,37,8.7,1
2017-01-06,-1,30,95,28,17,42,47,0.0,0.0,1025,10,2,35,-3,26,7.1,1
2017-01-07,-2,28,193,16,10,3,42,0.0,0.0,1040,10,4,40,-6,22,8.7,1
2017-01-08,1,34,151,11,7,1,39,0.0,0.0,1037,10,8,47,-4,26,8.7,1
2017-01-09,10,50,183,17,10,55,88,0.0,0.1,1026,9,17,63,3,38,3.8,1
2017-01-10,17,62,193,24,15,14,81,0.0,0.0,1017,10,23,73,14,56,8.7,1
2017-01-11,18,65,184,27,17,51,85,0.0,0.0,1014,10,23,73,15,59,7.1,1
2017-01-12,20,68,170,19,12,90,88,0.0,0.2,1017,10,21,70,19,65,3.8,1
2017-01-13,20,68,138,15,10,57,87,0.2,4.0,1024,8,24,75,17,62,8.7,1
2017-01-14,11,52,26,11,7,84,79,0.0,0.3,1027,10,13,56,10,49,3.8,1
2017-01-15,15,59,91,15,9,95,91,0.3,7.9,1018,9,19,67,9,48,3.8,1
2017-01-16,17,62,193,8,5,73,78,0.1,2.0,1014,8,18,64,16,60,5.5,1
2017-01-17,11,52,28,19,12,100,86,0.2,4.1,1019,8,15,58,9,48,3.9,1
2017-01-18,11,51,133,12,8,81,91,0.2,4.6,1018,10,15,59,9,49,3.9,1
2017-01-19,13,55,222,12,7,12,83,0.0,0.0,1011,10,18,65,9,48,8.7,1
2017-01-20,15,59,211,10,6,20,65,0.0,0.0,1007,10,22,72,11,51,7.1,1
2017-01-21,17,62,234,14,9,44,74,0.0,1.0,1002,9,24,75,13,55,7.1,1
