date,avgtempC,avgtempF,winddirDegree,windspeedKmph,windspeedMiles,cloudcover,humidity,precipInches,precipMM,pressure,visibility,maxtempC,maxtempF,mintempC,mintempF,sunHour,uvIndex
2019-01-01,7,45,15,13,8,41,72,0.0,0.0,1022,10,10,50,3,38,5.4,1
2019-01-02,4,39,121,13,8,97,84,2.0,51.0,1021,7,4,40,3,38,3.8,1
2019-01-03,5,42,315,11,7,59,74,0.4,9.8,1018,8,8,47,2,36,5.4,1
2019-01-04,9,49,308,5,3,2,66,0.0,0.0,1019,10,14,58,1,34,8.7,1
2019-01-05,12,54,216,5,3,0,67,0.0,0.0,1020,10,17,63,3,38,8.7,1
2019-01-06,14,57,182,7,4,45,79,0.0,0.0,1018,10,19,67,6,43,7.1,1
2019-01-07,17,63,221,6,4,59,76,0.0,0.6,1019,8,21,70,12,54,5.4,1
2019-01-08,16,60,225,5,3,19,70,0.0,0.0,1023,8,20,68,11,52,8.7,1
2019-01-09,12,54,40,9,6,25,56,0.0,0.0,1030,10,14,58,8,47,8.7,1
2019-01-10,10,50,125,3,2,49,60,0.0,0.0,1026,10,13,56,6,43,7.1,1
2019-01-11,11,53,150,6,4,88,85,0.2,4.9,1018,9,14,58,8,47,3.8,1
2019-01-12,12,54,319,12,8,30,78,0.1,3.2,1021,10,13,56,10,50,8.7,1
2019-01-13,8,47,19,9,5,4,70,0.0,0.0,1028,10,12,54,2,36,8.7,1
2019-01-14,7,45,35,6,3,24,69,0.0,0.0,1030,10,11,52,2,36,8.7,1
2019-01-15,9,48,153,4,2,84,73,0.0,0.1,1026,10,12,54,5,41,3.8,1
2019-01-16,14,57,168,6,3,90,78,0.0,0.2,1021,9,18,65,8,47,3.8,1
2019-01-17,17,63,287,6,3,25,74,0.0,0.1,1020,8,23,74,10,50,8.7,1
2019-01-18,18,64,200,9,5,33,79,0.0,0.0,1013,10,22,72,11,52,8.7,1
2019-01-19,9,48,335,22,14,11,51,0.0,0.1,1019,10,11,52,7,45,8.7,1
2019-01-20,6,44,54,7,4,8,52,0.0,0.0,1028,10,12,54,0,32,8.7,1
2019-01-21,9,48,167,12,8,18,68,0.0,0.0,1020,10,15,59,1,34,8.7,1
2019-01-22,15,60,187,13,8,93,72,0.1,2.9,1012,10,19,67,11,52,3.9,1
2019-01-23,6,42,338,15,9,31,52,0.3,8.4,1021,9,8,47,2,36,10.7,1
2019-01-24,9,49,182,5,3,1,55,0.0,0.0,1021,10,15,59,1,34,10.8,1
2019-01-25,7,45,116,7,4,76,64,0.0,0.0,1026,10,12,54,3,38,5.4,1
2019-01-26,11,51,74,4,2,52,76,0.0,0.5,1023,10,14,58,6,43,10.0,1
2019-01-27,11,52,342,3,2,39,73,0.8,20.1,1022,8,16,61,5,41,10.8,1
2019-01-28,13,56,211,14,9,28,63,0.0,0.0,1013,10,19,67,7,45,10.8,1
2019-01-29,5,41,36,14,9,24,43,0.0,0.0,1026,10,8,47,1,34,10.8,1
2019-01-30,7,45,131,6,4,80,50,0.0,0.2,1024,10,12,54,2,36,5.4,1
2019-01-31,11,51,130,6,4,100,76,0.0,0.7,1020,6,15,59,5,41,5.4,1
2019-02-01,15,59,84,7,5,97,87,0.1,1.6,1018,8,19,67,11,52,5.4,1
2019-02-02,16,62,136,7,4,92,87,0.0,1.1,1016,6,19,67,13,56,5.4,1
2019-02-03,18,64,196,10,6,94,80,0.0,1.0,1011,7,22,72,13,56,5.4,1
2019-02-04,20,68,216,8,5,76,80,0.0,0.2,1010,11,25,77,15,59,7.0,1
2019-02-05,20,68,187,12,7,84,90,0.0,0.4,1012,9,21,71,18,64,5.5,1
2019-02-06,21,70,192,18,11,100,92,0.1,3.7,1011,8,23,73,20,67,5.5,1
2019-02-07,19,67,330,17,11,75,56,0.4,8.9,1017,10,20,68,19,66,7.0,1
2019-02-08,2,36,29,16,10,62,50,0.0,0.6,1035,10,6,43,0,32,7.0,1
2019-02-09,3,38,55,10,6,99,71,0.0,1.1,1032,19,5,41,1,34,5.5,1
2019-02-10,7,45,175,3,2,99,90,0.0,0.6,1022,13,10,50,4,40,5.5,1
2019-02-11,16,60,221,7,4,87,89,0.1,3.2,1013,8,19,67,11,52,5.5,1
2019-02-12,12,54,126,9,6,8,46,0.0,0.0,1022,11,16,61,8,47,11.0,1
2019-02-13,12,53,168,10,6,17,60,0.0,0.0,1023,14,17,63,3,38,10.1,1
2019-02-14,18,65,207,15,9,12,74,0.0,0.0,1009,14,23,74,13,56,11.1,1
2019-02-15,23,74,241,10,6,8,57,0.0,0.0,1008,13,30,86,14,58,11.1,1
2019-02-16,11,53,35,8,5,46,70,0.0,0.0,1008,15,14,58,9,49,10.1,1
2019-02-17,16,60,11,11,7,16,55,0.0,0.0,1011,15,20,68,13,56,11.1,1
2019-02-18,11,52,49,15,9,37,61,0.0,0.0,1018,11,13,56,8,47,10.1,1
2019-02-19,7,45,31,11,7,90,80,0.1,2.3,1014,7,9,49,5,41,5.6,1
2019-02-20,11,52,316,7,4,34,60,0.0,0.0,1015,10,17,63,3,38,11.2,1
2019-02-21,11,51,71,6,4,82,72,0.0,0.0,1014,10,13,56,5,41,5.6,1
2019-02-22,13,55,205,6,4,75,86,0.0,0.3,1014,10,17,63,9,49,7.1,1
2019-02-23,17,63,291,12,8,57,55,0.0,0.9,1014,17,18,65,12,54,8.6,1
2019-02-24,12,53,38,7,4,0,47,0.0,0.0,1023,10,16,61,5,41,11.2,1
2019-02-25,13,56,127,7,4,25,66,0.0,0.1,1022,10,18,65,5,41,11.3,1
2019-02-26,15,59,78,6,4,97,78,0.0,0.6,1022,7,20,68,10,50,5.6,1
2019-02-27,18,65,148,7,4,90,80,0.0,0.5,1019,5,23,74,14,58,5.8,1
2019-02-28,8,46,23,10,6,92,75,0.0,0.8,1018,9,10,50,6,43,5.9,1
2019-03-01,10,50,114,6,4,84,81,0.0,0.0,1017,10,14,58,6,43,5.9,1
2019-03-02,11,53,34,8,5,98,87,0.0,0.7,1016,8,13,56,10,50,5.9,1
2019-03-03,8,47,6,16,10,61,76,0.0,0.8,1017,8,9,49,4,40,8.7,1
2019-03-04,0,32,16,19,12,32,54,0.0,0.0,1026,10,3,38,-3,27,10.2,1
2019-03-05,3,37,13,13,8,43,44,0.0,0.0,1032,10,7,45,-3,27,7.3,1
2019-03-06,7,44,133,7,4,20,50,0.0,0.0,1031,10,11,52,-1,31,11.6,1
2019-03-07,14,58,192,10,6,52,76,0.0,0.0,1020,10,19,67,5,41,10.2,1
2019-03-08,19,66,201,12,8,85,78,0.0,0.3,1013,10,22,72,14,58,5.9,1
2019-03-09,20,69,277,14,9,72,67,0.1,2.2,1008,6,23,74,17,63,8.8,1
2019-03-10,17,62,98,9,5,80,57,0.1,1.7,1015,8,22,72,12,54,5.9,1
2019-03-11,18,64,27,10,6,98,77,0.1,2.0,1016,9,21,70,15,59,6.0,1
2019-03-12,17,62,147,14,8,92,79,0.3,7.3,1008,6,19,67,15,59,6.0,1
2019-03-13,17,63,244,10,6,56,61,0.4,11.3,1008,9,21,70,13,56,8.8,1
2019-03-14,19,65,325,17,11,58,49,0.0,0.2,1014,10,23,74,11,52,10.2,1
2019-03-15,13,55,25,21,13,30,38,0.0,0.0,1027,10,16,60,10,50,11.6,1
2019-03-16,13,55,56,13,8,27,38,0.0,0.0,1028,11,17,63,8,46,11.6,1
2019-03-17,14,57,59,10,7,15,41,0.0,0.0,1026,20,19,66,8,46,11.6,1
2019-03-18,15,59,83,11,7,20,47,0.0,0.0,1025,20,20,68,10,49,11.6,1
2019-03-19,16,61,136,10,6,28,48,0.0,0.0,1024,10,21,69,10,50,11.6,1
2019-03-20,17,63,206,7,4,61,65,0.0,0.0,1023,10,23,74,12,54,6.0,1
2019-03-21,20,68,200,6,4,27,54,0.0,0.0,1023,10,26,79,12,54,11.6,1
