date_local,PM2.5
2017-01-01,47.1
2017-01-07,8.5
2017-01-10,5.7
2017-01-13,11.0
2017-01-16,2.8
2017-01-19,8.2
2017-01-25,6.6
2017-01-26,5.2
2017-01-28,3.8
2017-01-31,6.8
2017-02-03,14.0
2017-02-06,8.9
2017-02-09,7.4
2017-02-12,12.7
2017-02-15,2.6
2017-02-23,9.3
2017-02-24,8.5
2017-02-27,16.5
2017-03-02,4.3
2017-03-05,9.1
2017-03-08,8.7
2017-03-11,6.1
2017-03-14,5.9
2017-03-17,7.8
2017-03-20,7.1
2017-03-23,7.7
2017-03-26,17.4
2017-03-28,14.8
2017-03-29,6.1
2017-04-01,7.9
2017-04-04,10.2
2017-04-07,9.3
2017-04-10,12.6
2017-04-13,7.8
2017-04-16,10.2
2017-04-19,6.8
2017-04-25,9.3
2017-04-27,5.583333
2017-04-28,23.4
2017-04-29,26.208333
2017-04-30,3.583333
2017-05-01,4.5
2017-05-02,4.916667
2017-05-03,13.565217
2017-05-04,1.5
2017-05-05,5.5
2017-05-06,8.3625
2017-05-07,7.6
2017-05-08,5.2125
2017-05-09,8.9375
2017-05-10,13.775
2017-05-11,19.395833
2017-05-12,5.1
2017-05-13,7.725
2017-05-14,8.908696
2017-05-15,6.441667
2017-05-16,8.4
2017-05-17,9.9375
2017-05-18,16.45
2017-05-19,10.4
2017-05-20,6.583333
2017-05-21,3.416667
2017-05-22,3.8
2017-05-23,6.173913
2017-05-24,3.833333
2017-05-25,7.7
2017-05-26,12.375
2017-05-27,28.875
2017-05-28,15.304348
2017-05-29,5.625
2017-05-30,10.583333
2017-05-31,13.1
2017-06-01,6.208333
2017-06-02,9.041667
2017-06-03,4.083333
2017-06-04,4.833333
2017-06-05,4.428571
2017-06-06,6.166667
2017-06-07,9.791667
2017-06-08,15.791667
2017-06-09,12.6
2017-06-10,7.166667
2017-06-11,6.8
2017-06-12,8.1
2017-06-13,8.75
2017-06-14,9.583333
2017-06-15,9.5
2017-06-16,8.541667
2017-06-17,7.083333
2017-06-18,7.3
2017-06-19,6.670833
