date_local,Ozone(ppm)
2017-01-01,0.026
2017-01-02,0.026824
2017-01-03,0.028375
2017-01-04,0.016458
2017-01-05,0.019471
2017-01-06,0.031176
2017-01-07,0.03113
2017-01-08,0.035412
2017-01-09,0.034235
2017-01-10,0.032
2017-01-11,0.034118
2017-01-12,0.03175
2017-01-13,0.020833
2017-01-14,0.003238
2017-01-15,0.018647
2017-01-16,0.024588
2017-01-17,0.014708
2017-01-18,0.011588
2017-01-19,0.021353
2017-01-20,0.025412
2017-01-21,0.037706
2017-01-22,0.040917
2017-01-23,0.039647
2017-01-24,0.039833
2017-01-25,0.034292
2017-01-26,0.029824
2017-01-27,0.039588
2017-01-28,0.03787
2017-01-29,0.037647
2017-01-30,0.04
2017-01-31,0.043176
2017-02-01,0.042471
2017-02-02,0.032708
2017-02-03,0.027
2017-02-04,0.019609
2017-02-05,0.018529
2017-02-06,0.020625
2017-02-07,0.034294
2017-02-08,0.034118
2017-02-09,0.028765
2017-02-10,0.038667
2017-02-11,0.026591
2017-02-12,0.035118
2017-02-13,0.028833
2017-02-14,0.026941
2017-02-15,0.035792
2017-02-16,0.040941
2017-02-17,0.039958
2017-02-18,0.039739
2017-02-19,0.024824
2017-02-20,0.030667
2017-02-21,0.039294
2017-02-22,0.048294
2017-02-23,0.048529
2017-02-24,0.036235
2017-02-25,0.037118
2017-02-26,0.034059
2017-02-27,0.031176
2017-02-28,0.027042
2017-03-01,0.043471
2017-03-02,0.043941
2017-03-03,0.044471
2017-03-04,0.035261
2017-03-05,0.027833
2017-03-06,0.024235
2017-03-07,0.039824
2017-03-08,0.035538
2017-03-09,0.028714
2017-03-10,0.026941
2017-03-11,0.025824
2017-03-12,0.024042
2017-03-13,0.029824
2017-03-14,0.034353
2017-03-15,0.041588
2017-03-16,0.035294
2017-03-17,0.035353
2017-03-18,0.033294
2017-03-19,0.036529
2017-03-20,0.038471
2017-03-21,0.037647
2017-03-22,0.039471
2017-03-23,0.042471
2017-03-24,0.038588
2017-03-25,0.037412
2017-03-26,0.039235
2017-03-27,0.035882
2017-03-28,0.039471
2017-03-29,0.041667
2017-03-30,0.042706
2017-03-31,0.048294
2017-04-01,0.038167
2017-04-02,0.034
2017-04-03,0.043471
2017-04-04,0.049353
2017-04-05,0.040083
2017-04-06,0.043588
2017-04-07,0.055765
2017-04-08,0.047353
2017-04-09,0.041
2017-04-10,0.028583
2017-04-11,0.035588
2017-04-12,0.036333
2017-04-13,0.035
2017-04-14,0.035
2017-04-15,0.032
2017-04-16,0.029059
2017-04-17,0.031588
2017-04-18,0.033176
2017-04-19,0.035353
2017-04-20,0.029542
2017-04-21,0.028765
2017-04-22,0.032
2017-04-23,0.039471
2017-04-24,0.052765
2017-04-25,0.038708
2017-04-26,0.040235
2017-04-27,0.048412
2017-04-28,0.042773
2017-04-29,0.04
2017-04-30,0.045875
2017-05-01,0.058118
2017-05-02,0.054333
2017-05-03,0.044176
2017-05-04,0.045167
2017-05-05,0.045824
2017-05-06,0.059353
2017-05-07,0.056625
2017-05-08,0.042294
2017-05-09,0.030083
2017-05-10,0.035083
2017-05-11,0.026529
2017-05-12,0.050118
2017-05-13,0.050294
2017-05-14,0.054059
2017-05-15,0.049412
2017-05-16,0.040833
2017-05-17,0.031
2017-05-18,0.030118
2017-05-19,0.029882
2017-05-20,0.032294
2017-05-21,0.035765
2017-05-22,0.033
2017-05-23,0.037353
2017-05-24,0.042588
2017-05-25,0.04875
2017-05-26,0.034042
2017-05-27,0.026913
2017-05-28,0.029235
2017-05-29,0.035471
2017-05-30,0.037176
2017-05-31,0.031176
2017-06-01,0.026059
2017-06-02,0.027353
2017-06-03,0.029412
2017-06-04,0.029059
2017-06-05,0.035824
2017-06-06,0.047412
2017-06-07,0.057529
2017-06-08,0.059294
2017-06-09,0.051471
2017-06-10,0.045957
2017-06-11,0.038583
2017-06-12,0.031765
2017-06-13,0.025
2017-06-14,0.022412
2017-06-15,0.025294
2017-06-16,0.024941
2017-06-17,0.024529
2017-06-18,0.022353
2017-06-19,0.025529
2017-06-20,0.043882
2017-06-21,0.044529
2017-06-22,0.030292
2017-06-23,0.034353
2017-06-24,0.045588
2017-06-25,0.030042
2017-06-26,0.025882
2017-06-27,0.024529
2017-06-28,0.029882
2017-06-29,0.026353
